,ref_E_siliculosus,ref_CHO,ref_A_aegypti
C00342,0.0,1.0,1.0
C04722,0.0,1.0,1.0
C00535,0.0,1.0,1.0
C11134,0.0,1.0,1.0
C08278,0.0,1.0,1.0
C03028,0.0,1.0,1.0
C08322,0.0,1.0,0.0
C00089,0.0,1.0,1.0
C01620,0.0,1.0,1.0
C00178,0.0,1.0,1.0
C02198,0.0,1.0,1.0
"C01097, C03384, C06312, C22459",0.0,1.0,0.0
C00214,0.0,1.0,1.0
C00795,0.0,1.0,0.0
C00245,0.0,1.0,1.0
C03793,0.0,1.0,1.0
C07394,0.0,1.0,1.0
C05122,0.0,1.0,1.0
C07148,0.0,1.0,1.0
C00203,0.0,1.0,1.0
C05465,0.0,1.0,1.0
C03845,0.0,1.0,0.0
C05441,0.0,1.0,1.0
C05443,0.0,1.0,1.0
C14748,0.0,1.0,0.0
C08317,0.0,1.0,1.0
C05294,0.0,1.0,1.0
C15610,0.0,1.0,1.0
"C03594, C05500, C06341, C15519, C22446",0.0,1.0,0.0
C05452,0.0,1.0,1.0
C05445,0.0,1.0,1.0
C05444,0.0,1.0,1.0
C05451,0.0,1.0,0.0
C05455,0.0,1.0,1.0
C17339,0.0,1.0,1.0
C05453,0.0,1.0,0.0
C02530,0.0,1.0,1.0
C05446,0.0,1.0,1.0
C15518,0.0,1.0,1.0
C15520,0.0,1.0,1.0
C06341,0.0,1.0,1.0
C05454,0.0,1.0,1.0
C00181,0.0,1.0,1.0
C02266,0.0,1.0,0.0
C05411,0.0,1.0,1.0
C00379,0.0,1.0,1.0
C00229,0.0,0.0,1.0
"C05258, C05260, C16217",0.0,0.0,1.0
C01013,0.0,0.0,1.0
C11455,0.0,0.0,1.0
C01041,0.0,0.0,1.0
"C05261, C16529",0.0,0.0,1.0
C15872,0.0,0.0,1.0
C15865,0.0,0.0,1.0
"C14849, C14850, C14851, C18286",0.0,0.0,1.0
C00996,0.0,0.0,1.0
C00999,0.0,0.0,1.0
C05464,0.0,0.0,1.0
C06438,0.0,0.0,1.0
"C06439, C13802",0.0,0.0,1.0
"C02528, C17660, C17664",0.0,0.0,1.0
"C02700, C15605",0.0,0.0,1.0
C02403,0.0,0.0,1.0
C05551,0.0,0.0,1.0
C03372,0.0,0.0,1.0
C03201,0.0,0.0,1.0
C04317,0.0,0.0,1.0
C03968,0.0,0.0,1.0
C03715,0.0,0.0,1.0
C02960,0.0,0.0,1.0
C04756,0.0,0.0,1.0
C17435,0.0,0.0,1.0
C05447,0.0,0.0,1.0
C16531,0.0,0.0,1.0
C19625,0.0,0.0,1.0
C02678,0.0,0.0,1.0
C00381,0.0,0.0,1.0
C00688,0.0,0.0,1.0
"C00446, C00668, C01171, C03811",0.0,0.0,1.0
C01288,0.0,0.0,1.0
C19615,0.0,0.0,1.0
C06462,0.0,0.0,1.0
C19623,0.0,0.0,1.0
"C04637, C11554, C11556",0.0,0.0,1.0
"C01277, C04549, C11557",0.0,0.0,1.0
C00309,0.0,0.0,1.0
"C02110, C16681",0.0,0.0,1.0
C21007,0.0,0.0,1.0
C01301,0.0,0.0,1.0
"C05500, C05502, C15519, C22446, C22447",0.0,0.0,1.0
C00310,0.0,0.0,1.0
C00312,0.0,0.0,1.0
C06804,0.0,0.0,1.0
C07599,0.0,0.0,1.0
C01844,0.0,0.0,1.0
C07014,0.0,0.0,1.0
C07966,0.0,0.0,1.0
C13334,0.0,0.0,1.0
C05086,0.0,0.0,1.0
C07524,0.0,0.0,1.0
C07072,0.0,0.0,1.0
C15554,0.0,0.0,1.0
C01375,0.0,0.0,1.0
