 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4,aureme5
MNXR101873,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101882,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101891,1,0,1,0,0,0,0,0,0,0,0,0,0
MNXR101912,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR101918,1,1,0,0,0,0,0,1,0,0,0,0,0
MNXR101937,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101938,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101939,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101940,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR101950,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101956,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101957,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101958,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101959,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101983,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR101992,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101995,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102028,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR102031,1,0,0,1,0,1,1,1,0,0,1,1,1
MNXR102033,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR102035,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR102036,1,0,0,1,0,1,1,1,1,0,1,1,1
MNXR102065,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102090,1,1,0,0,0,0,0,0,1,0,0,0,0
MNXR102149,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102209,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR102218,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102221,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102223,1,1,0,1,1,1,0,1,0,0,1,1,1
MNXR102232,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102238,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102302,1,1,1,1,0,0,1,1,1,0,1,1,1
MNXR102303,1,1,1,1,0,1,1,1,1,0,1,1,1
MNXR102306,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102311,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102312,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102345,1,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102349,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102438,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102440,1,0,1,1,0,1,1,1,0,1,1,1,1
MNXR102441,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102443,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102445,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102461,1,0,1,1,1,1,1,1,1,1,1,1,1
MNXR102516,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102517,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102518,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102524,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102527,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102543,1,1,1,1,1,1,1,0,0,1,1,0,0
MNXR102547,1,1,1,1,1,1,1,1,1,1,1,1,1
MNXR102625,1,0,0,1,0,0,0,1,0,0,1,1,1
MNXR102637,1,1,0,1,1,1,0,1,0,0,1,1,1
MNXR102650,1,0,1,1,0,1,1,1,1,1,1,1,1
MNXR102874,1,0,0,1,0,0,0,0,0,0,1,1,1
MNXR102974,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102976,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102978,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102981,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102982,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102983,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102984,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102985,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102986,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR102987,1,0,0,0,0,0,0,0,0,0,0,0,0
MNXR103050,1,1,1,1,1,1,1,1,1,1,1,1,1
