MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR112579,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R09142__in,N/A,N/A,N/A,R09142,R09142,N/A
MNXR96436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R_CA2tex, R_EX_ca2_e",N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR162500,5564469 or 5569333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RE3185M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR117790,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_12890,N/A,N/A,N/A,N/A
MNXR195397,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5572081,N/A,N/A,N/A,N/A,R_MGCH,N/A,N/A,N/A,N/A,R02085,N/A,N/A
MNXR105952,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR101639,5578387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MM5bg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR103132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5578938,N/A,N/A,N/A,N/A,"R03222__in, R03222__in",N/A,N/A,N/A,N/A,PROTOPORGENOXI_RXN,N/A
MNXR211318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR163356,5576146 or 5576151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"r1175, r1176",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR189008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ccb:Clocel_1840 or gba:J421_3839 or tdi:AUW17_02515 or tpx:Turpa_2698,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn00712_c
MNXR118660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_14389,N/A,N/A,N/A,N/A
MNXR189978,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR122921,N/A,N/A,N/A,N/A,N/A,N/A,5577268,N/A,5577268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_9647,N/A,RXN_9647,N/A
