MNXR_id,GPR_ref,GPR_au,GPR_cv,GPR_me,GPR_ms,GPR_pt,GPR_rm,GPR_rk,GPR_rc,GPR_rec,rxns_ref,rxns_au,rxns_cv,rxns_me,rxns_ms,rxns_pt,rxns_rm,rxns_rk,rxns_rc,rxns_rec
MNXR151254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR140250,N/A,N/A,N/A,N/A,N/A,N/A,CBJ30539.1,N/A,CBJ30539.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_12189,N/A,RXN_12189,N/A
MNXR122288,N/A,N/A,N/A,N/A,N/A,N/A,CBJ27526.1,N/A,CBJ27526.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_8364,N/A,RXN_8364,N/A
MNXR176991,N/A,N/A,N/A,N/A,CBJ30202.1 or CBN76663.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn24412_m0,N/A,N/A,N/A,N/A,N/A
MNXR119037,N/A,CBJ25608.1 or CBJ25662.1 or CBJ29899.1 or CBJ31058.1 or CBJ31455.1 or CBJ32372.1 or CBJ33062.1 or CBN75448.1 or CBN77166.1 or CBN77179.1,N/A,N/A,N/A,CBJ25608.1 or CBJ25662.1 or CBJ29899.1 or CBJ31058.1 or CBJ31455.1 or CBJ32372.1 or CBJ33062.1 or CBN75448.1 or CBN77166.1 or CBN77179.1,N/A,N/A,CBJ31058.1 or CBN75448.1,N/A,N/A,RXN_14959,N/A,N/A,N/A,RXN_14959,N/A,N/A,RXN_14959,N/A
MNXR190515,N/A,N/A,CBJ32783.1 or CBN79325.1,CBJ32783.1 or CBJ33018.1 or CBJ33019.1 or CBN79325.1 or Esi_0592.0001,CBJ28031.1 or CBJ30335.1 or CBJ32783.1 or CBJ32846.1 or CBJ33018.1 or CBJ33019.1 or CBJ33757.1 or CBN76903.1 or CBN77228.1 or CBN78403.1 or CBN79325.1 or CBN79461.1,N/A,CBJ32783.1 or CBJ33018.1 or CBJ33019.1 or CBJ33757.1 or CBN79325.1,CBJ32783.1 or CBJ33757.1 or CBN79325.1,CBJ32783.1 or CBJ33018.1 or CBJ33019.1 or CBJ33757.1 or CBN79325.1,N/A,N/A,N/A,R_ACCOAC,"R00742__chlo, R00742__cytop, R00742__mito, R00742__nucl","R_rxn00533_c0, R_rxn00533_d0",N/A,ACETYL_COA_CARBOXYLTRANSFER_RXN,R00742,ACETYL_COA_CARBOXYLTRANSFER_RXN,N/A
MNXR115536,CBJ26610.1 or CBJ26611.1 or CBN78512.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN-171,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR101527,N/A,CBJ27335.1 or CBJ27792.1 or CBJ33166.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MNXR117197,N/A,CBJ27147.1 or CBN79606.1 or CBN79695.1,N/A,N/A,N/A,CBJ27147.1 or CBN79606.1 or CBN79695.1,CBN79695.1,N/A,CBN79695.1,N/A,N/A,RXN_11858,N/A,N/A,N/A,RXN_11858,RXN_11858,N/A,RXN_11858,N/A
MNXR162468,N/A,N/A,N/A,N/A,N/A,CBN74154.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RXN_21859,N/A,N/A,N/A,N/A
MNXR108577,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,scl:sce6695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,rxn02807_c
