Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
1-palmitoyl-2-linolenoyl-GPC (16:0/18:3),,,,,,0,MNXM69318
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),,,,,,0,MNXM1107143
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),,,,,,0,MNXM1108429
1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2),,,,,,0,N/A
1-palmitoyl-GPC (16:0),,,,,,0,MNXM1107742
1-palmitoyl-GPG (16:0),,,,,,0,MNXM6605
1-palmitoyl-GPI* (16:0),,,,,,0,MNXM1104719
1-palmitoylglycerol (16:0),,,,,,0,MNXM1107664;MNXM1107665
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),,,,,,0,MNXM739502
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),,,,,,0,MNXM71618
10-heptadecenoate (17:1n7),10Z-Heptadecenoic acid,HMDB0060038,5312435,,CCCCCC\C=C/CCCCCCCCC(O)=O,1,MNXM727337;MNXM1368332
10-nonadecenoate (19:1n9),10Z-Nonadecenoic acid,HMDB0013622,5312513,C00174,CCCCCCCC\C=C/CCCCCCCCC(O)=O,1,MNXM162495
12-HEPE,12-HEPE,HMDB0010202,10041593,,CC\C=C/C\C=C/CC(O)\C=C\C=C/C\C=C/CCCC(O)=O,1,MNXM33252
12-HETE,12-HETE,HMDB0006111,5283155,C14777,CCCCC\C=C/C[C@H](O)\C=C\C=C/C\C=C/CCCC(O)=O,1,MNXM728284
13-HODE + 9-HODE,,,,,,0,MNXM1130786;MNXM1364489;MNXM1364490
13-HOTrE,,,,,,0,MNXM468368
15-HEPE,15-HEPE,HMDB0010209,53480357,,CC\C=C/C(O)C\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O,1,MNXM733683
15-HETE,15-HETE,HMDB0003876,5280724,C04742,CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O,1,MNXM2059
2-dimethylaminoethanol,Dimethylethanolamine,HMDB0032231,7902,C04308,CN(C)CCO,1,MNXM1563627;MNXM739989;MNXM739987
2-hydroxyglutarate,2-Hydroxyglutarate,HMDB0059655,43,C02630,OC(CCC(O)=O)C(O)=O,1,MNXM1101251
2-hydroxylaurate,,,,,,0,MNXM35173
2-hydroxymyristate,2-Hydroxymyristic acid,HMDB0002261,1563,,CCCCCCCCCCCCC(O)C(O)=O,1,MNXM150579
2-hydroxypalmitate,2-Hydroxyhexadecanoic acid,HMDB0031057,12575964,,CCCCCCCCCCCCCC[C@H](O)C(O)=O,1,MNXM1106765;MNXM1364281
2-hydroxystearate,2-Hydroxystearic acid,HMDB0062549,439887,C03045,CCCCCCCCCCCCCCCC[C@H](O)C(O)=O,1,MNXM1371633
2-linoleoylglycerol (18:2),,,,,,0,MNXM62013
2-oleoylglycerol (18:1),,,,,,0,MNXM12267;MNXM1507982
2-palmitoleoyl-GPC* (16:1),,,,,,0,MNXM477328
2-palmitoyl-GPC* (16:0),,,,,,0,MNXM481111
2-palmitoylglycerol (16:0),,,,,,0,MNXM35405
3-hydroxybutyrylcarnitine (2),,,,,,0,MNXM1363434;MNXM163668
3-hydroxypalmitate,3-Hydroxyhexadecanoic acid,HMDB0061658,10989404,,CCCCCCCCCCCCC[C@H](O)CC(O)=O,1,MNXM1369066;MNXM1369067
3-hydroxypropanoate,Hydroxypropionic acid,HMDB0000700,68152,C01013,OCCC(O)=O,1,MNXM872
dihomolinoleate (20:2n6),Dihomolinoleic acid,HMDB0061864,5282799,,CCCCC\C=C/C=C\CCCCCCCCC(O)=O,1,MNXM729691
dihomolinolenate (20:3n3 or 3n6),,,,,,0,MNXM1370278;MNXM1108488
docosadienoate (22:2n6),Docosadienoate (22:2n6),HMDB0061714,5312554,C16533,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(O)=O,1,MNXM1364555
eicosapentaenoate (EPA; 20:5n3),,,,,,0,MNXM57074
eicosenoate (20:1n9 or 1n11),,,,,,0,MNXM511715;MNXM1107952
erucate (22:1n9),,,,,,0,MNXM11520
3-hydroxystearate,,,,,,0,MNXM36555
5-HEPE,5-HEPE,HMDB0005081,6439678,,CC\C=C/C\C=C/C\C=C/C\C=C/C=C/C(O)CCCC(O)=O,1,MNXM38127
fucosterol,Fucosterol,HMDB0030021,131750945,C08817,C\C=C(\C(C)C)CC[C@@H](C)C1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,1,MNXM1107486;MNXM1107487
8-hydroxyoctanoate,8-Hydroxyoctanoate,HMDB0061914,69820,,OCCCCCCCC(O)=O,1,MNXM39354
acetylcarnitine (C2),,,,,,0,MNXM726103;MNXM726104
glutarate (pentanedioate),,,,,,0,MNXM1021
glycerol,Glycerol,HMDB0000131,753,C00116,OCC(O)CO,1,MNXM89612
acetylcholine,Acetylcholine,HMDB0000895,187,C01996,CC(=O)OCC[N+](C)(C)C,1,MNXM793
adipate,Adipic acid,HMDB0000448,196,C06104,OC(=O)CCCCC(O)=O,1,MNXM2800
glycerophosphoglycerol,Glycerophosphoglycerol,HMDB0240316,54575349,,OC[C@H](O)COP(O)(=O)OC[C@H](O)CO,1,MNXM1106892
glycerophosphoinositol,Glycerophosphoinositol,HMDB0011649,,C01225,OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,1,MNXM1559964;MNXM55317
glycerophosphorylcholine (GPC),,,,,,0,MNXM1369256
arachidonate (20:4n6),,,,,,0,N/A
hexanoylcarnitine (C6),,,,,,0,MNXM56437
azelate (nonanedioate; C9),,,,,,0,MNXM731023
choline,Choline,HMDB0000097,305,C00114,C[N+](C)(C)CCO,1,MNXM90
glycerol 3-phosphate,Glycerol 3-phosphate,HMDB0000126,439162,C00093,OC[C@@H](O)COP(O)(O)=O,1,MNXM66
linoleate (18:2n6),,,,,,0,N/A
linolenate (18:3n3 or 3n6),,,,,,0,MNXM588427
glycerophosphoethanolamine,Glycerylphosphorylethanolamine,HMDB0000114,123874,C01233,NCCOP(O)(=O)OCC(O)CO,1,MNXM1107456
malonate,Malonic acid,HMDB0000691,867,C00383,OC(=O)CC(O)=O,1,MNXM730881;MNXM730882
myristoleate (14:1n5),,,,,,0,MNXM1364444
myristate (14:0),,,,,,0,MNXM314
sphinganine,Sphinganine,HMDB0000269,91486,C00836,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,1,MNXM733692
N-palmitoyl-sphinganine (d18:0/16:0),,,,,,0,MNXM46082
oleate/vaccenate (18:1),,,,,,0,N/A
palmitate (16:0),,,,,,0,MNXM108
palmitoleate (16:1n7),,,,,,0,MNXM1107900
pentadecanoate (15:0),,,,,,0,MNXM155959
phosphoethanolamine (PE),,,,,,0,MNXM187
stearidonate (18:4n3),,,,,,0,MNXM5608
suberate (octanedioate),,,,,,0,MNXM12964
2'-deoxyadenosine,Deoxyadenosine,HMDB0000101,13730,C00559,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1,1,MNXM625
2'-deoxyadenosine 5'-monophosphate,Deoxyadenosine monophosphate,HMDB0000905,12599,C00360,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,1,MNXM432
2'-deoxycytidine,Deoxycytidine,HMDB0000014,13711,C00881,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,1,MNXM704
dCMP,dCMP,HMDB0001202,13945,C00239,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,1,MNXM266
2'-deoxyguanosine,Deoxyguanosine,HMDB0000085,187790,C00330,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,1,MNXM647
2'-deoxyguanosine 5'-monophosphate (dGMP),,,,,,0,MNXM736654
2'-deoxyinosine,Deoxyinosine,HMDB0000071,65058,C05512,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O,1,MNXM935
2'-deoxyuridine,Deoxyuridine,HMDB0000012,13712,C00526,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,1,MNXM492
adenine,Adenine,HMDB0000034,190,C00147,NC1=C2NC=NC2=NC=N1,1,MNXM168
adenosine,Adenosine,HMDB0000050,60961,C00212,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1,MNXM1105760
AMP,Adenosine monophosphate,HMDB0000045,6083,C00020,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1,MNXM728294
cytidine,Cytidine,HMDB0000089,6175,C00475,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,MNXM1363925
"cytidine 2',3'-cyclic monophosphate",,,,,,0,MNXM3148
CMP,Cytidine monophosphate,HMDB0000095,6131,C00055,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1,MNXM1103302
cytosine,Cytosine,HMDB0000630,597,C00380,NC1=CC=NC(=O)N1,1,MNXM761
ectoine,,,,,,0,MNXM1101176
guanine,Guanine,HMDB0000132,764,C00242,NC1=NC(=O)C2=C(N1)N=CN2,1,MNXM733114
guanosine,Guanosine,HMDB0000133,6802,C00387,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,1,MNXM1103400
"guanosine-2',3'-cyclic monophosphate",,,,,,0,N/A
hypoxanthine,Hypoxanthine,HMDB0000157,790,C00262,OC1=NC=NC2=C1NC=N2,1,MNXM732487
inosine,Inosine,HMDB0000195,6021,C00294,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1,MNXM1103335
inosine 5'-monophosphate (IMP),,,,,,0,MNXM1101868
1-methyladenine,1-Methyladenine,HMDB0011599,78821,C02216,CN1C=NC2=NC=NC2=C1N,1,MNXM735901;MNXM735902
N-carbamoylaspartate,Ureidosuccinic acid,HMDB0000828,93072,C00438,NC(=O)N[C@@H](CC(O)=O)C(O)=O,1,MNXM465
1-methyladenosine,1-Methyladenosine,HMDB0003331,27476,C02494,CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N,1,MNXM4237
"N2,N2-dimethylguanine",,,,,,0,MNXM1377528
"N2,N2-dimethylguanosine","N2,N2-Dimethylguanosine",HMDB0004824,92919,,CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,MNXM62892
N6-carbamoylthreonyladenosine,N6-Carbamoyl-L-threonyladenosine,HMDB0041623,92021849,,C[C@@H](O)[C@H](NC(N)=O)C(=O)NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1,MNXM738995
N6-succinyladenosine,,,,,,0,MNXM82900;MNXM1103622
2'-O-methyladenosine,2'-O-Methyladenosine,HMDB0004326,317398,C04779,COC1C(O)C(CO)OC1N1C=NC2=C(N)N=CN=C12,1,MNXM741549
3-aminoisobutyrate,3-Aminoisobutanoic acid,HMDB0003911,64956,C05145,CC(CN)C(O)=O,1,MNXM9987
3-ureidopropionate,Ureidopropionic acid,HMDB0000026,111,C02642,NC(=O)NCCC(O)=O,1,MNXM802
4-ureidobutyrate,,,,,,0,N/A
5-hydroxymethyluracil,5-Hydroxymethyluracil,HMDB0000469,78168,C03088,OCC1=CNC(=O)NC1=O,1,MNXM1368887;MNXM1368888
5-methyluridine (ribothymidine),,,,,,0,MNXM1100696
orotate,Orotic acid,HMDB0000226,967,C00295,OC(=O)C1=CC(=O)NC(=O)N1,1,MNXM235
8-hydroxyguanine,8-Hydroxyguanine,HMDB0002032,65154,C20155,NC1=NC2=C(NC(=O)N2)C(=O)N1,1,MNXM2795
2'-AMP,Adenosine monophosphate,HMDB0000045,6083,C00020,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1,MNXM728294
pseudouridine,Pseudouridine,HMDB0000767,15047,C02067,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O,1,MNXM1094063
3'-AMP,3'-AMP,HMDB0003540,41211,C01367,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,1,MNXM1102173
"adenosine-2',3'-cyclic monophosphate",,,,,,0,N/A
adenylosuccinate,Adenylsuccinic acid,HMDB0000536,447145,C03794,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N[C@@H](CC(O)=O)C(O)=O,1,MNXM1103622
allantoic acid,Allantoic acid,HMDB0001209,203,C00499,NC(=O)NC(NC(N)=O)C(O)=O,1,MNXM584
allantoin,Allantoin,HMDB0000462,204,C02350,NC(=O)NC1NC(=O)NC1=O,1,MNXM738834
beta-alanine,beta-Alanine,HMDB0000056,239,C00099,NCCC(O)=O,1,MNXM144
5'- GMP,,,,,,0,MNXM55503
thymidine,Thymidine,HMDB0000273,5789,C00214,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,1,MNXM420
TMP,5-Thymidylic acid,HMDB0001227,9700,C00364,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O,1,MNXM1137754
uracil,Uracil,HMDB0000300,1174,C00106,O=C1NC=CC(=O)N1,1,MNXM1368456;MNXM1368457
urate,Uric acid,HMDB0000289,1175,C00366,O=C1NC2=C(N1)C(=O)NC(=O)N2,1,MNXM1105965
uridine,Uridine,HMDB0000296,6029,C00299,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,1,MNXM1103104
UMP,Uridine 5'-monophosphate,HMDB0000288,6030,C00105,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,1,MNXM1104823
"uridine-2',3'-cyclic monophosphate",,,,,,0,MNXM3150
xanthine,Xanthine,HMDB0000292,1188,C00385,O=C1NC2=C(NC=N2)C(=O)N1,1,MNXM174
glutamine-leucine,,,,,,0,MNXM726304
glycylleucine,Glycylleucine,HMDB0000759,92843,C02155,CC(C)C[C@H](NC(=O)CN)C(O)=O,1,MNXM126241;MNXM727716
glycylvaline,Glycylvaline,HMDB0028854,2724807,,CC(C)[C@H](NC(=O)CN)C(O)=O,1,MNXM126246
isoleucylglycine,Isoleucyl-Glycine,HMDB0028907,342532,,CCC(C)C(N)C(=O)NCC(O)=O,1,MNXM126867
leucylalanine,Leucylalanine,HMDB0028922,81721,,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O,1,MNXM1371084;MNXM1371085
leucylglycine,Glycylleucine,HMDB0000759,92843,C02155,CC(C)C[C@H](NC(=O)CN)C(O)=O,1,MNXM126241
lysylleucine,Lysylleucine,HMDB0028955,7016103,,CC(C)C[C@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,1,MNXM127560
phenylalanylalanine,Phenylalanylalanine,HMDB0028988,5488196,,C[C@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)C(O)=O,1,MNXM1367143;MNXM1367144
phenylalanylglycine,Phenylalanylglycine,HMDB0028995,6992303,,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O,1,MNXM727875;MNXM1556085
prolylhydroxyproline,Prolylhydroxyproline,HMDB0006695,11902892,,O[C@@H]1C[C@H](N(C1)C(=O)[C@@H]1CCCN1)C(O)=O,1,MNXM1129412
prolylglycine,Prolylglycine,HMDB0011178,6426709,,OC(=O)CNC(=O)[C@@H]1CCCN1,1,MNXM1370137
alanylleucine,Alanylleucine,HMDB0028691,96801,,CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O,1,MNXM1371213;MNXM1371214;MNXM729871
tyrosylglycine,Tyrosylglycine,HMDB0029105,7021853,,N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(O)=O,1,MNXM1371131;MNXM1371130
valylglutamine,Valylglutamine,HMDB0029125,7016044,,CC(C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(O)=O,1,MNXM145234
valylglycine,Valylglycine,HMDB0029127,6993110,,CC(C)[C@H](N)C(=O)NCC(O)=O,1,MNXM145235
valylleucine,Valylleucine,HMDB0029131,6993117,,CC(C)C[C@H](NC(=O)[C@@H](N)C(C)C)C(O)=O,1,MNXM145239
"benzene-1,3,5-triol","1,3,5-Trihydroxybenzene",HMDB0013675,359,C02183,OC1=CC(O)=CC(O)=C1,1,MNXM1769
"2,4,6-trihydroxybenzoate","2,4,6-Trihydroxybenzoic acid",HMDB0029649,66520,,OC(=O)C1=C(O)C=C(O)C=C1O,1,MNXM20428
3-hydroxy-3-methylglutarate,3-Hydroxymethylglutaric acid,HMDB0000355,1662,C03761,CC(O)(CC(O)=O)CC(O)=O,1,MNXM731593
beta-carotene,beta-Carotene,HMDB0000561,5280489,C02094,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,1,MNXM1108250
tryptophan betaine,Lenticin,HMDB0061115,442106,C09213,C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O,1,MNXM56977
trimethylamine N-oxide,Trimethylamine N-oxide,HMDB0000925,1145,C01104,C[N+](C)(C)[O-],1,MNXM736072
