Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,MetaNetX
gamma-glutamylphenylalanine,gamma-Glutamylphenylalanine,HMDB0000594,111299,,N[C@@H](CCC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O,1,MNXM737595
gamma-glutamylvaline,gamma-Glutamylvaline,HMDB0011172,7015683,,CC(C)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O,1,MNXM726308
glutamate,Glutamic acid,HMDB0000148,33032,C00302,N[C@@H](CCC(O)=O)C(O)=O,1,MNXM741172
"glutamate, gamma-methyl ester",,,,,,0,MNXM729747
glutamine,Glutamine,HMDB0000641,5961,C00064,N[C@@H](CCC(N)=O)C(O)=O,1,MNXM37
"glutathione, oxidized (GSSG)",,,,,,0,MNXM1371191
"glutathione, reduced (GSH)",,,,,,0,MNXM490899
glycine,Glycine,HMDB0000123,750,C00037,NCC(O)=O,1,MNXM29
histidine,Histidine,HMDB0000177,6274,C00135,N[C@@H](CC1=CN=CN1)C(O)=O,1,MNXM1107769
histidinol,,,,,,0,MNXM1281
homoarginine,Homo-L-arginine,HMDB0000670,9085,C01924,N[C@@H](CCCCNC(N)=N)C(O)=O,1,MNXM56605
homostachydrine,Proline betaine,HMDB0004827,115244,C10172,C[N+]1(C)CCC[C@H]1C([O-])=O,1,MNXM1100081
imidazole lactate,Imidazole lactate,METPA0616,,C05568,,1,MNXM732015
isobutyrylcarnitine (C4),,,,,,0,MNXM1106129
isoleucine,Isoleucine,HMDB0000172,6306,C00407,CC[C@H](C)[C@H](N)C(O)=O,1,MNXM728338
isovalerylcarnitine (C5),,,,,,0,MNXM1101229
leucine,Leucine,HMDB0000687,6106,C00123,CC(C)C[C@H](N)C(O)=O,1,MNXM1106761
lysine,Lysine,HMDB0000182,5962,C00047,NCCCC[C@H](N)C(O)=O,1,MNXM1364268
methionine,Methionine,HMDB0000696,6137,C00073,CSCC[C@H](N)C(O)=O,1,MNXM738803
methionine sulfone,Methionine sulfone,HMDB0062174,445282,,CS(=O)(=O)CC[C@H](N)C(O)=O,1,MNXM171180
methionine sulfoxide,Methionine sulfoxide,HMDB0002005,158980,C02989,CS(=O)CC[C@H](N)C(O)=O,1,MNXM1364200
N-acetyl-1-methylhistidine,,,,,,0,MNXM587362
N-acetyl-3-methylhistidine,,,,,,0,MNXM587364
N-acetyl-cadaverine,,,,,,0,MNXM40085
N-acetylalanine,N-Acetyl-L-alanine,HMDB0000766,88064,,C[C@H](NC(C)=O)C(O)=O,1,MNXM1129177;MNXM1102171
N-acetylarginine,,,,,,0,MNXM64030
N-acetylasparagine,N-Acetylasparagine,HMDB0006028,99715,,CC(=O)N[C@@H](CC(N)=O)C(O)=O,1,MNXM745498
N-acetylglutamate,N-Acetyl-L-glutamic acid,HMDB0001138,70914,C00624,CC(=O)N[C@@H](CCC(O)=O)C(O)=O,1,MNXM1370620
N-acetylglutamine,N-Acetylglutamine,HMDB0006029,182230,,CC(=O)N[C@@H](CCC(N)=O)C(O)=O,1,MNXM1368465;MNXM1368466
N-acetylglycine,Acetylglycine,HMDB0000532,10972,,CC(=O)NCC(O)=O,1,MNXM587422
N-acetylhistamine,N-Acetylhistamine,HMDB0013253,69602,C05135,CC(=O)NCCC1=CN=CN1,1,MNXM12367
N-acetylhistidine,N-Acetylhistidine,HMDB0032055,75619,C02997,CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O,1,MNXM4710
N-acetylmethionine,N-Acetyl-L-methionine,HMDB0011745,448580,C02712,CSCC[C@H](NC(C)=O)C(O)=O,1,MNXM1092515
N-acetylmethionine sulfoxide,N-Acetylmethionine sulfoxide,HMDB0240343,7408371,,CC(=O)N[C@@H](CCS(C)=O)C(O)=O,1,MNXM1129935
N-acetylphenylalanine,N-Acetyl-L-phenylalanine,HMDB0000512,74839,C03519,CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1,MNXM63577
N-acetylproline,N-Acetylproline,HMDB0094701,66141,,[H][C@]1(CCCN1C(C)=O)C(O)=O,1,MNXM19623;MNXM63517
N-acetylputrescine,N-Acetylputrescine,HMDB0002064,122356,C02714,CC(=O)NCCCCN,1,MNXM1092578;MNXM1153
N-acetylserine,N-Acetylserine,HMDB0002931,65249,,CC(=O)N[C@@H](CO)C(O)=O,1,MNXM739024
N-acetyltaurine,N-Acetyltaurine,HMDB0240253,159864,,CC(=O)NCCS(O)(=O)=O,1,MNXM151774
