id,name,id_c,formula,BioCyc_api,name_2,formula_clean
4crsol_c,P-Cresol,4crsol,['C7H8O'],META:CPD-108,P-Cresol,C7H8O
aacald_c,Aminoacetaldehyde,aacald,['C2H6NO'],META:CPD-1772,Aminoacetaldehyde,C2H6NO
amob_c,S-Adenosyl-4-methylthio-2-oxobutanoate,amob,['C15H19N5O6S'],META:S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE,S-Adenosyl-4-methylthio-2-oxobutanoate,C15H19N5O6S
10fthf_c,10-Formyltetrahydrofolate,10fthf,['C20H21N7O7'],META:10-FORMYL-THF,10-Formyltetrahydrofolate,C20H21N7O7
2fe2s_c,[2Fe-2S] iron-sulfur cluster,2fe2s,['S2Fe2'],,[2Fe-2S] iron-sulfur cluster,S2Fe2
2ohph_c,2-Octaprenyl-6-hydroxyphenol,2ohph,['C46H70O2'],META:2-OCTAPRENYL-6-HYDROXYPHENOL,2-Octaprenyl-6-hydroxyphenol,C46H70O2
4fe4s_c,[4Fe-4S] iron-sulfur cluster,4fe4s,['S4Fe4'],META:CPD-7,[4Fe-4S] iron-sulfur cluster,S4Fe4
ala__L_c,L-Alanine,ala__L,['C3H7NO2'],META:L-ALPHA-ALANINE,L-Alanine,C3H7NO2
amet_c,S-Adenosyl-L-methionine,amet,['C15H23N6O5S'],META:S-ADENOSYLMETHIONINE,S-Adenosyl-L-methionine,C15H23N6O5S
arg__L_c,L-Arginine,arg__L,['C6H15N4O2'],META:ARG,L-Arginine,C6H15N4O2
asn__L_c,L-Asparagine,asn__L,['C4H8N2O3'],META:ASN,L-Asparagine,C4H8N2O3
asp__L_c,L-Aspartate,asp__L,['C4H6NO4'],META:L-ASPARTATE,L-Aspartate,C4H6NO4
atp_c,ATP C10H12N5O13P3,atp,['C10H12N5O13P3'],META:ATP,ATP,C10H12N5O13P3
bmocogdp_c,Bis-molybdopterin guanine dinucleotide,bmocogdp,['C40H44N20O27P4S4Mo'],,Bis-molybdopterin guanine dinucleotide,C40H44N20O27P4S4Mo
btn_c,Biotin,btn,['C10H15N2O3S'],META:BIOTIN,Biotin,C10H15N2O3S
ca2_c,Calcium,ca2,['Ca'],META:CA+2,lcium,Ca
cl_c,Chloride,cl,['Cl'],META:CL-,Chloride,Cl
coa_c,Coenzyme A,coa,['C21H32N7O16P3S'],META:CO-A,Coenzyme A,C21H32N7O16P3S
cobalt2_c,Co2+,cobalt2,['Co'],META:CO+2,2+,Co
ctp_c,CTP C9H12N3O14P3,ctp,['C9H12N3O14P3'],META:CTP,CTP,C9H12N3O14P3
cu2_c,Copper,cu2,['Cu'],META:CU+2,Copper,Cu
cys__L_c,L-Cysteine,cys__L,['C3H7NO2S'],META:CYS,L-Cysteine,C3H7NO2S
datp_c,DATP C10H12N5O12P3,datp,['C10H12N5O12P3'],META:DATP,DATP,C10H12N5O12P3
dctp_c,DCTP C9H12N3O13P3,dctp,['C9H12N3O13P3'],META:DCTP,DCTP,C9H12N3O13P3
dgtp_c,DGTP C10H12N5O13P3,dgtp,['C10H12N5O13P3'],META:DGTP,DGTP,C10H12N5O13P3
dttp_c,DTTP C10H13N2O14P3,dttp,['C10H13N2O14P3'],META:TTP,DTTP,C10H13N2O14P3
fad_c,Flavin adenine dinucleotide oxidized,fad,['C27H31N9O15P2'],META:FAD,Flavin adenine dinucleotide oxidized,C27H31N9O15P2
fe2_c,Fe2+ mitochondria,fe2,['Fe'],META:FE+2,2+ mitochondria,Fe
fe3_c,Iron (Fe3+),fe3,['Fe'],META:FE+3,Iron (3+),Fe
gln__L_c,L-Glutamine,gln__L,['C5H10N2O3'],META:GLN,L-Glutamine,C5H10N2O3
glu__L_c,L-Glutamate,glu__L,['C5H8NO4'],META:GLT,L-Glutamate,C5H8NO4
gly_c,Glycine,gly,['C2H5NO2'],META:GLY,Glycine,C2H5NO2
gtp_c,GTP C10H12N5O14P3,gtp,['C10H12N5O14P3'],META:GTP,GTP,C10H12N5O14P3
h2o_c,H2O H2O,h2o,['H2O'],META:CPD-15815,,H2O
his__L_c,L-Histidine,his__L,['C6H9N3O2'],META:HIS,L-Histidine,C6H9N3O2
ile__L_c,L-Isoleucine,ile__L,['C6H13NO2'],META:ILE,L-Isoleucine,C6H13NO2
k_c,Potassium,k,['K'],META:K+,Potassium,K
leu__L_c,L-Leucine,leu__L,['C6H13NO2'],META:LEU,L-Leucine,C6H13NO2
lys__L_c,L-Lysine,lys__L,['C6H15N2O2'],META:LYS,L-Lysine,C6H15N2O2
met__L_c,L-Methionine,met__L,['C5H11NO2S'],META:MET,L-Methionine,C5H11NO2S
mg2_c,Magnesium,mg2,['Mg'],META:MG+2,Magnesium,Mg
mlthf_c,"5,10-Methylenetetrahydrofolate",mlthf,['C20H21N7O6'],META:METHYLENE-THF,"5,10-Methylenetetrahydrofolate",C20H21N7O6
mn2_c,Manganese,mn2,['Mn'],META:MN+2,Manganese,Mn
mobd_c,Molybdate,mobd,"['MoO4', 'H2MoO4']",META:CPD-3,Molybdate,"MoO4', 'H2MoO4"
nad_c,Nicotinamide adenine dinucleotide,nad,['C21H26N7O14P2'],META:NAD,Nicotinamide adenine dinucleotide,C21H26N7O14P2
nadp_c,Nicotinamide adenine dinucleotide phosphate,nadp,['C21H25N7O17P3'],META:NADP,Nicotinamide adenine dinucleotide phosphate,C21H25N7O17P3
nh4_c,Ammonium,nh4,"['H4N', 'NH4']",META:AMMONIA,Ammonium,"H4N', 'NH4"
ni2_c,Nickel,ni2,['Ni'],META:NI+2,ckel,Ni
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",pe160,"['C37H74N1O8P1', 'C37H74NO8P']",META:CPD-12819,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)","C37H74N1O8P1', 'C37H74NO8P"
pe161_c,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",pe161,"['C37H70NO8P', 'C37H70N1O8P1']",META:CPD-17086,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)","C37H70NO8P', 'C37H70N1O8P1"
phe__L_c,L-Phenylalanine,phe__L,['C9H11NO2'],META:PHE,L-Phenylalanine,C9H11NO2
pheme_c,Protoheme C34H30FeN4O4,pheme,"['C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4']",META:PROTOHEME,Protoheme,"C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4"
pro__L_c,L-Proline,pro__L,['C5H9NO2'],META:PRO,L-Proline,C5H9NO2
pydx5p_c,Pyridoxal 5'-phosphate,pydx5p,"['C8H7NO6P', 'C8H8NO6P']",META:PYRIDOXAL_PHOSPHATE,Pyridoxal 5'-phosphate,"C8H7NO6P', 'C8H8NO6P"
ribflv_c,Riboflavin C17H20N4O6,ribflv,"['C17H19N4O6', 'C17H20N4O6']",META:RIBOFLAVIN,Riboflavin,"C17H19N4O6', 'C17H20N4O6"
ser__L_c,L-Serine,ser__L,['C3H7NO3'],META:SER,L-Serine,C3H7NO3
sheme_c,Siroheme C42H36FeN4O16,sheme,['C42H36FeN4O16'],META:SIROHEME,Siroheme,C42H36FeN4O16
so4_c,Sulfate,so4,"['SO4', 'O4S']",META:HSO4,Sulfate,"SO4', 'O4S"
thf_c,"5,6,7,8-Tetrahydrofolate",thf,['C19H21N7O6'],META:THF,"5,6,7,8-Tetrahydrofolate",C19H21N7O6
thmpp_c,Thiamine diphosphate,thmpp,['C12H16N4O7P2S'],META:THIAMINE-PYROPHOSPHATE,Thiamine diphosphate,C12H16N4O7P2S
thr__L_c,L-Threonine,thr__L,['C4H9NO3'],META:THR,L-Threonine,C4H9NO3
trp__L_c,L-Tryptophan,trp__L,['C11H12N2O2'],META:TRP,L-Tryptophan,C11H12N2O2
tyr__L_c,L-Tyrosine,tyr__L,['C9H11NO3'],META:TYR,L-Tyrosine,C9H11NO3
udcpdp_c,Undecaprenyl diphosphate,udcpdp,['C55H89O7P2'],META:CPD-9649,Undecaprenyl diphosphate,C55H89O7P2
utp_c,UTP C9H11N2O15P3,utp,['C9H11N2O15P3'],META:UTP,UTP,C9H11N2O15P3
val__L_c,L-Valine,val__L,['C5H11NO2'],META:VAL,L-Valine,C5H11NO2
zn2_c,Zinc,zn2,['Zn'],META:ZN+2,Zinc,Zn
kdo2lipid4_e,KDO(2)-lipid IV(A),kdo2lipid4,['C84H148N2O37P2'],META:KDO2-LIPID-IVA,KDO(2)-lipid IV(A),C84H148N2O37P2
murein5px4p_p,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",murein5px4p,['C77H117N15O40'],META:CPD0-2278,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",C77H117N15O40
pe160_p,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",pe160,"['C37H74N1O8P1', 'C37H74NO8P']",META:CPD-12819,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)","C37H74N1O8P1', 'C37H74NO8P"
pe161_p,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",pe161,"['C37H70NO8P', 'C37H70N1O8P1']",META:CPD-17086,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)","C37H70NO8P', 'C37H70N1O8P1"
adp_c,ADP C10H12N5O10P2,adp,['C10H12N5O10P2'],META:ADP,ADP,C10H12N5O10P2
h_c,H+,h,['H'],META:PROTON,+,H
pi_c,Phosphate,pi,"['H1O4P', 'HPO4', 'HO4P']",META:CPD-16459,Phosphate,"H1O4P', 'HPO4', 'HO4P"
ppi_c,Diphosphate,ppi,"['P2HO7', 'H1O7P2', 'HO7P2']",META:PPI,Diphosphate,"P2HO7', 'H1O7P2', 'HO7P2"
12ppd__S_e,"(S)-Propane-1,2-diol",12ppd__S,['C3H8O2'],META:PROPANE-1-2-DIOL,"(S)-Propane-1,2-diol",C3H8O2
15dap_e,"1,5-Diaminopentane",15dap,['C5H16N2'],META:CADAVERINE,"1,5-Diaminopentane",C5H16N2
23dappa_e,"2,3-diaminopropionate",23dappa,['C3H9N2O2'],META:23-Diaminopropanoate,"2,3-diaminopropionate",C3H9N2O2
26dap__M_e,"Meso-2,6-Diaminoheptanedioate",26dap__M,['C7H14N2O4'],META:MESO-DIAMINOPIMELATE,"Meso-2,6-Diaminoheptanedioate",C7H14N2O4
34dhpac_e,"3,4-Dihydroxyphenylacetaldehyde",34dhpac,['C8H8O3'],META:34-DIHYDROXYPHENYLACETALDEHYDE,"3,4-Dihydroxyphenylacetaldehyde",C8H8O3
3amp_e,3  AMP C10H12N5O7P,3amp,['C10H12N5O7P'],META:CPD-3706,3  AMP,C10H12N5O7P
3gmp_e,Guanosine 3  phosphate C10H12N5O8P,3gmp,['C10H12N5O8P'],META:CPD-3708,Guanosine 3  phosphate,C10H12N5O8P
3hcinnm_e,3-hydroxycinnamic acid,3hcinnm,['C9H7O3'],META:CPD-10797,3-hydroxycinnamic acid,C9H7O3
3hpp_e,3-Hydroxypropanoate,3hpp,['C3H5O3'],META:3-HYDROXY-PROPIONATE,3-Hydroxypropanoate,C3H5O3
3ump_e,3  UMP C9H11N2O9P,3ump,['C9H11N2O9P'],META:CPD-3724,3  UMP,C9H11N2O9P
5dglcn_e,5-Dehydro-D-gluconate,5dglcn,['C6H9O7'],META:5-DEHYDROGLUCONATE,5-Dehydro-D-gluconate,C6H9O7
LalaDglu_e,L-alanine-D-glutamate,LalaDglu,['C8H13N2O5'],META:CPD0-2190,L-alanine-D-glutamate,C8H13N2O5
LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",LalaDgluMdap,['C15H25N4O8'],,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",C15H25N4O8
acgal_e,N-Acetyl-D-galactosamine,acgal,['C8H15NO6'],META:N-acetyl-D-galactosamine,N-Acetyl-D-galactosamine,C8H15NO6
acgal1p_e,N-Acetyl-D-galactosamine 1-phosphate,acgal1p,['C8H14NO9P'],META:CPD-7246,N-Acetyl-D-galactosamine 1-phosphate,C8H14NO9P
acgam_e,N-Acetyl-D-glucosamine,acgam,['C8H15NO6'],META:N-acetyl-D-glucosamine,N-Acetyl-D-glucosamine,C8H15NO6
acmana_e,N-Acetyl-D-mannosamine,acmana,['C8H15NO6'],META:N-acetyl-D-mannosamine,N-Acetyl-D-mannosamine,C8H15NO6
ade_e,Adenine,ade,['C5H5N5'],META:ADENINE,Adenine,C5H5N5
adn_e,Adenosine,adn,['C10H13N5O4'],META:ADENOSINE,Adenosine,C10H13N5O4
ag_e,Silver,ag,['Ag'],META:AG+,Silver,Ag
agm_e,Agmatine,agm,['C5H16N4'],META:AGMATHINE,Agmatine,C5H16N4
ala_B_e,Beta-Alanine,ala_B,['C3H7NO2'],META:B-ALANINE,Beta-Alanine,C3H7NO2
alaala_e,D-Alanyl-D-alanine,alaala,['C6H12N2O3'],META:D-ALA-D-ALA,D-Alanyl-D-alanine,C6H12N2O3
all__D_e,D-Allose,all__D,['C6H12O6'],META:ALLOSE,D-Allose,C6H12O6
amp_e,AMP C10H12N5O7P,amp,['C10H12N5O7P'],META:AMP,AMP,C10H12N5O7P
anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,anhgm,['C19H29N2O12'],,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,C19H29N2O12
arab__L_e,L-Arabinose,arab__L,['C5H10O5'],META:CPD-15699,L-Arabinose,C5H10O5
arbt_e,Arbutin C12H16O7,arbt,['C12H16O7'],META:HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE,Arbutin,C12H16O7
arbtn_e,Aerobactin minus Fe3,arbtn,['C22H33N4O13'],,Aerobactin minus Fe3,C22H33N4O13
arbtn_fe3_e,Aerobactin,arbtn_fe3,['C22H33FeN4O13'],META:AEROBACTIN,Aerobactin,C22H33FeN4O13
ascb__L_e,L-Ascorbate,ascb__L,"['C6H7O6', 'C6H8O6']",META:ASCORBATE,L-Ascorbate,"C6H7O6', 'C6H8O6"
asn__L_e,L-Asparagine,asn__L,['C4H8N2O3'],META:ASN,L-Asparagine,C4H8N2O3
aso3_e,Arsenite,aso3,['AsO3'],META:CPD0-2040,Arsenite,AsO3
asp__L_e,L-Aspartate,asp__L,['C4H6NO4'],META:L-ASPARTATE,L-Aspartate,C4H6NO4
btn_e,Biotin,btn,['C10H15N2O3S'],META:BIOTIN,Biotin,C10H15N2O3S
ca2_e,Calcium,ca2,['Ca'],META:CA+2,lcium,Ca
chtbs_e,"N,N'-diacetylchitobiose",chtbs,"['C16H28N2O11', 'C10H16O7N']",,"N,N'-diacetylchitobiose","C16H28N2O11', 'C10H16O7N"
cl_e,Chloride,cl,['Cl'],META:CL-,Chloride,Cl
cmp_e,CMP C9H12N3O8P,cmp,['C9H12N3O8P'],META:CMP,CMP,C9H12N3O8P
co2_e,CO2 CO2,co2,['CO2'],META:CARBON-DIOXIDE,,CO2
colipa_e,Core oligosaccharide lipid A,colipa,"['C176H303N2O100P4', 'C170H293N2O96P4']",META:CPD0-2271,Core oligosaccharide lipid A,"C176H303N2O100P4', 'C170H293N2O96P4"
cpgn_e,Coprogen,cpgn,['C35H52N6O13Fe'],,Coprogen,C35H52N6O13Fe
cpgn_un_e,Coprogen unloaded (no Fe(III)),cpgn_un,['C35H52N6O13'],META:CPD0-2262,Coprogen unloaded (no Fe(III)),C35H52N6O13
crn__D_e,D-Carnitine,crn__D,['C7H15NO3'],META:D-CARNITINE,D-Carnitine,C7H15NO3
cu_e,Cu+,cu,['Cu'],META:CU+,+,Cu
cu2_e,Copper,cu2,['Cu'],META:CU+2,Copper,Cu
cyan_e,Hydrogen cyanide,cyan,"['HCN', 'CHN', 'CN']",META:CPD-13584,Hydrogen cyanide,"HCN', 'CHN', 'CN"
cys__D_e,D-Cysteine,cys__D,['C3H7NO2S'],META:D-CYSTEINE,D-Cysteine,C3H7NO2S
cys__L_e,L-Cysteine,cys__L,['C3H7NO2S'],META:CYS,L-Cysteine,C3H7NO2S
cytd_e,Cytidine,cytd,['C9H13N3O5'],META:CYTIDINE,Cytidine,C9H13N3O5
dad_2_e,Deoxyadenosine,dad_2,['C10H13N5O3'],META:DEOXYADENOSINE,Deoxyadenosine,C10H13N5O3
damp_e,DAMP C10H12N5O6P,damp,['C10H12N5O6P'],META:DAMP,DAMP,C10H12N5O6P
ddca_e,Dodecanoate (n-C12:0),ddca,['C12H23O2'],,Dodecanoate (n-C12:0),C12H23O2
dgsn_e,Deoxyguanosine,dgsn,['C10H13N5O4'],META:DEOXYGUANOSINE,Deoxyguanosine,C10H13N5O4
dha_e,Dihydroxyacetone,dha,['C3H6O3'],META:DIHYDROXYACETONE,Dihydroxyacetone,C3H6O3
din_e,Deoxyinosine,din,['C10H12N4O4'],META:DEOXYINOSINE,Deoxyinosine,C10H12N4O4
dmso_e,Dimethyl sulfoxide,dmso,['C2H6OS'],META:DMSO,Dimethyl sulfoxide,C2H6OS
doxrbcn_e,Doxorubicin,doxrbcn,['C27H29NO11'],META:CPD-13973,Doxorubicin,C27H29NO11
dump_e,DUMP C9H11N2O8P,dump,['C9H11N2O8P'],META:DUMP,DUMP,C9H11N2O8P
enlipa_e,Phosphoethanolamine KDO(2)-lipid (A),enlipa,['C112H202N3O42P3'],,Phosphoethanolamine KDO(2)-lipid (A),C112H202N3O42P3
enter_e,Enterochelin,enter,['C30H27N3O15'],META:ENTEROBACTIN,Enterochelin,C30H27N3O15
ethso3_e,Ethanesulfonate,ethso3,['C2H5O3S'],META:CPD-10434,Ethanesulfonate,C2H5O3S
fald_e,Formaldehyde,fald,['CH2O'],META:CARBONYL-GROUP,Formaldehyde,CH2O
fe2_e,Fe2+ mitochondria,fe2,['Fe'],META:FE+2,2+ mitochondria,Fe
fe3_e,Iron (Fe3+),fe3,['Fe'],META:FE+3,Iron (3+),Fe
fe3dcit_e,Fe(III)dicitrate,fe3dcit,['C12H10FeO14'],,Fe(III)dicitrate,C12H10FeO14
fe3hox_e,Fe(III)hydroxamate,fe3hox,['C9H18O6N3Fe'],META:CPD0-2114,Fe(III)hydroxamate,C9H18O6N3Fe
fecrm_e,Ferrichrome,fecrm,['C27H42FeN9O12'],META:CPD0-2241,Ferrichrome,C27H42FeN9O12
fecrm_un_e,Ferrichrome minus Fe(III),fecrm_un,['C27H42N9O12'],META:CPD0-2205,Ferrichrome minus Fe(III),C27H42N9O12
feenter_e,Fe-enterobactin,feenter,['C30H27FeN3O15'],,Fe-enterobactin,C30H27FeN3O15
frulys_e,Fructoselysine,frulys,['C12H25N2O7'],META:FRUCTOSELYSINE,Fructoselysine,C12H25N2O7
g3pc_e,Sn-Glycero-3-phosphocholine,g3pc,['C8H20NO6P'],META:L-1-GLYCERO-PHOSPHORYLCHOLINE,Sn-Glycero-3-phosphocholine,C8H20NO6P
g3ps_e,Glycerophosphoserine,g3ps,['C6H13NO8P'],META:CPD0-2030,Glycerophosphoserine,C6H13NO8P
g6p_e,D-Glucose 6-phosphate,g6p,['C6H11O9P'],META:D-glucopyranose-6-phosphate,D-Glucose 6-phosphate,C6H11O9P
gal_e,D-Galactose,gal,['C6H12O6'],META:ALPHA-D-GALACTOSE,D-Galactose,C6H12O6
gal_bD_e,Beta D-Galactose,gal_bD,['C6H12O6'],META:GALACTOSE,Beta D-Galactose,C6H12O6
gal1p_e,Alpha-D-Galactose 1-phosphate,gal1p,['C6H11O9P'],META:GALACTOSE-1P,Alpha-D-Galactose 1-phosphate,C6H11O9P
galct__D_e,D-Galactarate,galct__D,['C6H8O8'],META:D-GALACTARATE,D-Galactarate,C6H8O8
galctn__L_e,L-Galactonate,galctn__L,['C6H11O7'],META:CPD0-1083,L-Galactonate,C6H11O7
gam_e,D-Glucosamine,gam,['C6H14NO5'],META:GLUCOSAMINE,D-Glucosamine,C6H14NO5
gam6p_e,D-Glucosamine 6-phosphate,gam6p,['C6H13NO8P'],META:D-GLUCOSAMINE-6-P,D-Glucosamine 6-phosphate,C6H13NO8P
gbbtn_e,Gamma-butyrobetaine,gbbtn,['C7H15NO2'],META:GAMMA-BUTYROBETAINE,Gamma-butyrobetaine,C7H15NO2
gdp_e,GDP C10H12N5O11P2,gdp,['C10H12N5O11P2'],META:GDP,GDP,C10H12N5O11P2
glcr_e,D-Glucarate,glcr,['C6H8O8'],META:D-GLUCARATE,D-Glucarate,C6H8O8
glyald_e,D-Glyceraldehyde,glyald,['C3H6O3'],META:GLYCERALD,D-Glyceraldehyde,C3H6O3
glyc__R_e,(R)-Glycerate,glyc__R,['C3H5O4'],META:GLYCERATE,(R)-Glycerate,C3H5O4
glyc3p_e,Glycerol 3-phosphate,glyc3p,['C3H7O6P'],META:GLYCEROL-3P,Glycerol 3-phosphate,C3H7O6P
gmp_e,GMP C10H12N5O8P,gmp,['C10H12N5O8P'],META:GMP,GMP,C10H12N5O8P
gsn_e,Guanosine,gsn,"['C10H13N5O5', 'C10H12N5O5']",META:GUANOSINE,Guanosine,"C10H13N5O5', 'C10H12N5O5"
gthox_e,Oxidized glutathione,gthox,"['C20H30N6O12S2', 'C20H28N6O12S2']",META:OXIDIZED-GLUTATHIONE,Oxidized glutathione,"C20H30N6O12S2', 'C20H28N6O12S2"
gua_e,Guanine,gua,"['C5H4N5O', 'C5H5N5O']",META:GUANINE,Guanine,"C5H4N5O', 'C5H5N5O"
h2_e,Hydrogen,h2,['H2'],META:HYDROGEN-MOLECULE,Hydrogen,H2
h2o2_e,Hydrogen peroxide,h2o2,['H2O2'],META:HYDROGEN-PEROXIDE,Hydrogen peroxide,H2O2
hacolipa_e,Hepta-acylated core oligosaccharide lipid A (E. coli),hacolipa,"['C186H323N2O97P4', 'C192H333N2O101P4']",,Hepta-acylated core oligosaccharide lipid A (E. coli),"C186H323N2O97P4', 'C192H333N2O101P4"
halipa_e,Hepta-acylated KDO(2)-lipid (A),halipa,['C126H226N2O40P2'],,Hepta-acylated KDO(2)-lipid (A),C126H226N2O40P2
hdca_e,Hexadecanoate (n-C16:0),hdca,['C16H31O2'],META:PALMITATE,Hexadecanoate (n-C16:0),C16H31O2
idon__L_e,L-Idonate,idon__L,['C6H11O7'],META:L-IDONATE,L-Idonate,C6H11O7
indole_e,Indole,indole,['C8H7N'],META:INDOLE,Indole,C8H7N
inost_e,Myo-Inositol,inost,['C6H12O6'],META:CPD-8052,Myo-Inositol,C6H12O6
ins_e,Inosine,ins,['C10H12N4O5'],META:INOSINE,Inosine,C10H12N4O5
isetac_e,Isethionic acid,isetac,['C2H5O4S'],META:CPD-3745,Isethionic acid,C2H5O4S
k_e,Potassium,k,['K'],META:K+,Potassium,K
lac__L_e,L-Lactate,lac__L,['C3H5O3'],META:L-LACTATE,L-Lactate,C3H5O3
lipoate_e,Lipoate,lipoate,"['C8H14O2S2', 'C8H13O2S2']",META:LIPOIC-ACID,Lipoate,"C8H14O2S2', 'C8H13O2S2"
lyx__L_e,L-Lyxose,lyx__L,['C5H10O5'],META:CPD-15867,L-Lyxose,C5H10O5
malthx_e,Maltohexaose,malthx,['C36H62O31'],META:MALTOHEXAOSE,Maltohexaose,C36H62O31
malttr_e,Maltotriose C18H32O16,malttr,['C18H32O16'],META:MALTOTRIOSE,Maltotriose,C18H32O16
maltttr_e,Maltotetraose,maltttr,['C24H42O21'],META:CPD0-2595,Maltotetraose,C24H42O21
melib_e,Melibiose C12H22O11,melib,['C12H22O11'],META:MELIBIOSE,Melibiose,C12H22O11
met__L_e,L-Methionine,met__L,['C5H11NO2S'],META:MET,L-Methionine,C5H11NO2S
metsox_S__L_e,L-Methionine Sulfoxide,metsox_S__L,['C5H11NO3S'],META:L-Methionine-sulfoxides,L-Methionine Sulfoxide,C5H11NO3S
mnl_e,D-Mannitol,mnl,['C6H14O6'],META:MANNITOL,D-Mannitol,C6H14O6
mso3_e,Methanesulfonate,mso3,['CH3O3S'],META:CPD-3746,Methanesulfonate,CH3O3S
n2o_e,Nitrous oxide,n2o,['N2O'],META:NITROUS-OXIDE,Nitrous oxide,N2O
na1_e,Sodium,na1,['Na'],META:NA+,Sodium,Na
nac_e,Nicotinate,nac,['C6H4NO2'],META:NIACINE,Nicotinate,C6H4NO2
no_e,Nitric oxide,no,['NO'],META:NITRIC-OXIDE,Nitric oxide,NO
no2_e,Nitrite,no2,['NO2'],META:NITRITE,Nitrite,NO2
no3_e,Nitrate,no3,['NO3'],META:CPD-15028,Nitrate,NO3
o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A,o16a4colipa,['C312H523N6O200P4'],,(O16 antigen)x4 core oligosaccharide lipid A,C312H523N6O200P4
ocdcea_e,Octadecenoate (n-C18:1),ocdcea,['C18H33O2'],META:OLEATE-CPD,Octadecenoate (n-C18:1),C18H33O2
orot_e,Orotate C5H3N2O4,orot,['C5H3N2O4'],META:OROTATE,Orotate,C5H3N2O4
pacald_e,Phenylacetaldehyde,pacald,['C8H8O'],META:PHENYLACETALDEHYDE,Phenylacetaldehyde,C8H8O
pheme_e,Protoheme C34H30FeN4O4,pheme,"['C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4']",META:PROTOHEME,Protoheme,"C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4"
pnto__R_e,(R)-Pantothenate,pnto__R,"['C9H15NO5', 'C9H16NO5']",META:PANTOTHENATE,(R)-Pantothenate,"C9H15NO5', 'C9H16NO5"
ppa_e,Propionate (n-C3:0),ppa,['C3H5O2'],,Propionate (n-C3:0),C3H5O2
ppal_e,Propanal,ppal,['C3H6O'],META:CPD-665,Propanal,C3H6O
pppn_e,Phenylpropanoate,pppn,['C9H9O2'],META:3-PHENYLPROPIONATE,Phenylpropanoate,C9H9O2
progly_e,L-Prolinylglycine,progly,['C7H12N2O3'],META:CPD0-2182,L-Prolinylglycine,C7H12N2O3
pser__L_e,O-Phospho-L-serine,pser__L,['C3H6NO6P'],META:3-P-SERINE,O-Phospho-L-serine,C3H6NO6P
ptrc_e,Putrescine,ptrc,['C4H14N2'],META:PUTRESCINE,Putrescine,C4H14N2
pydam_e,Pyridoxamine,pydam,['C8H13N2O2'],META:PYRIDOXAMINE,Pyridoxamine,C8H13N2O2
pydx_e,Pyridoxal,pydx,['C8H9NO3'],META:PYRIDOXAL,Pyridoxal,C8H9NO3
pyr_e,Pyruvate,pyr,['C3H3O3'],META:PYRUVATE,Pyruvate,C3H3O3
rmn_e,L-Rhamnose,rmn,['C6H12O5'],META:CPD-15405,L-Rhamnose,C6H12O5
sbt__D_e,D-Sorbitol,sbt__D,['C6H14O6'],META:SORBITOL,D-Sorbitol,C6H14O6
sel_e,Selenate,sel,['O4Se'],META:SELENATE,Selenate,O4Se
ser__D_e,D-Serine,ser__D,['C3H7NO3'],META:D-SERINE,D-Serine,C3H7NO3
skm_e,Shikimate,skm,['C7H9O5'],META:SHIKIMATE,Shikimate,C7H9O5
so3_e,Sulfite,so3,"['O3S', 'SO3', 'HSO3']",META:H2SO3,Sulfite,"O3S', 'SO3', 'HSO3"
so4_e,Sulfate,so4,"['SO4', 'O4S']",META:HSO4,Sulfate,"SO4', 'O4S"
spmd_e,Spermidine,spmd,['C7H22N3'],META:SPERMIDINE,Spermidine,C7H22N3
sulfac_e,Sulfoacetate,sulfac,['C2H2O5S'],META:CPD-10246,Sulfoacetate,C2H2O5S
taur_e,Taurine C2H7NO3S,taur,"['C2H7NO3S', 'C2H6NO3S']",META:TAURINE,Taurine,"C2H7NO3S', 'C2H6NO3S"
thm_e,Thiamin,thm,['C12H17N4OS'],,Thiamin,C12H17N4OS
thr__L_e,L-Threonine,thr__L,['C4H9NO3'],META:THR,L-Threonine,C4H9NO3
