id,name,id_c,formula,BioCyc_api,name_2,formula_clean
gltdechol_e,Beta glucan-taurodeoxycholic acid complex,gltdechol,['C1200026H2200044NO1100006S'],,Beta glucan-taurodeoxycholic acid complex,C1200026H2200044NO1100006S
tdechola_e,Taurodeoxycholate,tdechola,['C26H44NO6S'],META:CPD-12457,Taurodeoxycholate,C26H44NO6S
biliverd_c,Biliverdin cytosol,biliverd,['C33H32N4O6'],META:BILIVERDINE,Biliverdin cytosol,C33H32N4O6
m2emgacpail_cho_r,"(dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6)",m2emgacpail_cho,['C51H94N2O32P2RCO2R2CO2'],,"(dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (H6)",C51H94N2O32P2RCO2R2CO2
memgacpail_cho_r,"(mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B)",memgacpail_cho,['C45H84N2O27P2RCO2R2CO2'],,"(mannosyl),(phosphoethanolaminyl)-mannosyl-glucosylaminyl-acylphosphatidylinositol (B)",C45H84N2O27P2RCO2R2CO2
c10dc_c,Sebacoyl carnitine; decanedioyl carnitin,c10dc,['C17H30NO6'],,Sebacoyl carnitine; decanedioyl carnitin,C17H30NO6
c10dc_x,Sebacoyl carnitine; decanedioyl carnitin,c10dc,['C17H30NO6'],,Sebacoyl carnitine; decanedioyl carnitin,C17H30NO6
c10dc_e,Sebacoyl carnitine; decanedioyl carnitin,c10dc,['C17H30NO6'],,Sebacoyl carnitine; decanedioyl carnitin,C17H30NO6
3deccrn_c,3-hydroxydecanoylcarnitine,3deccrn,['C17H33NO5'],,3-hydroxydecanoylcarnitine,C17H33NO5
3hexdcoa_c,3-hydroxyhexadecanoylcoa,3hexdcoa,['C37H62N7O18P3S'],,3-hydroxyhexadecanoylcoa,C37H62N7O18P3S
3hexdcrn_c,3-hydroxyhexadecanoylcarnitine,3hexdcrn,['C23H45NO5'],,3-hydroxyhexadecanoylcarnitine,C23H45NO5
c4crn_c,Butyryl carnitine,c4crn,['C11H21NO4'],,Butyryl carnitine,C11H21NO4
c4crn_e,Butyryl carnitine,c4crn,['C11H21NO4'],,Butyryl carnitine,C11H21NO4
c4dc_c,Succinyl carnitine,c4dc,['C11H18NO6'],,Succinyl carnitine,C11H18NO6
c4dc_x,Succinyl carnitine,c4dc,['C11H18NO6'],,Succinyl carnitine,C11H18NO6
c6dc_c,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,c6dc,['C13H22NO6'],,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,C13H22NO6
c6dc_e,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,c6dc,['C13H22NO6'],,Adipoyl carnitine; 5-Carboxypentanoyl carnitine,C13H22NO6
c81_c184crn_c,"C8:1fatty acyl-carnitine, derived from C18:4",c81_c184crn,['C15H27NO4'],,"C8:1fatty acyl-carnitine, derived from C18:4",C15H27NO4
c81_c184crn_m,"C8:1fatty acyl-carnitine, derived from C18:4",c81_c184crn,['C15H27NO4'],,"C8:1fatty acyl-carnitine, derived from C18:4",C15H27NO4
c81_c184crn_x,"C8:1fatty acyl-carnitine, derived from C18:4",c81_c184crn,['C15H27NO4'],,"C8:1fatty acyl-carnitine, derived from C18:4",C15H27NO4
