Original ID,Raw MetaNetX ID,transport,Final ID
R01350__cytop,R01350__cytop,0,R01350__cytop
TR0000232_vacmem__vacmem,TR0000232_vacmem__vacmem,1,Transport removed
R08678__mito,R08678__mito,0,R08678__mito
R02029__mito,R02029__mito,0,R02029__mito
R07290__cytop,R07290__cytop,0,R07290__cytop
R03050__pero,R03050__pero,0,R03050__pero
TO0000242_cytmem__cytmem,TO0000242_cytmem__cytmem,1,Transport removed
R00573__cytop,R00573__cytop,0,R00573__cytop
R01641__cytop,R01641__cytop,0,R01641__cytop
R04676__mito,R04676__mito,0,R04676__mito
R12496__cytop,R12496__cytop,0,R12496__cytop
R01220__mito,R01220__mito,0,R01220__mito
TO1000266_cytmem__cytmem,TO1000266_cytmem__cytmem,1,Transport removed
R01498__extr,R01498__extr,0,R01498__extr
R00106__cytop,R00106__cytop,0,R00106__cytop
R04007__cytop,R04007__cytop,0,R04007__cytop
R10484__cytop,R10484__cytop,0,R10484__cytop
R00551__cytop,R00551__cytop,0,R00551__cytop
TI3000288_cytmem__cytmem,TI3000288_cytmem__cytmem,1,Transport removed
TR0000100_cytmem__cytmem,TR0000100_cytmem__cytmem,1,Transport removed
R02095__extr,R02095__extr,0,R02095__extr
R02887__cytop,R02887__cytop,0,R02887__cytop
R00139__cytop,R00139__cytop,0,R00139__cytop
TO0000223_cytmem__cytmem,TO0000223_cytmem__cytmem,1,Transport removed
R04463__cytop,R04463__cytop,0,R04463__cytop
R00897__cytop,R00897__cytop,0,R00897__cytop
R03697__cytop,R03697__cytop,0,R03697__cytop
R04452__cytop,R04452__cytop,0,R04452__cytop
TO3000499_cytmem__cytmem,TO3000499_cytmem__cytmem,1,Transport removed
R04742__pero,R04742__pero,0,R04742__pero
TZ3100113_cytmem__cytmem,TZ3100113_cytmem__cytmem,1,Transport removed
R08364__cytop,R08364__cytop,0,R08364__cytop
R01392__extr,R01392__extr,0,R01392__extr
TO3000349_cytmem__cytmem,TO3000349_cytmem__cytmem,1,Transport removed
R01663__cytop,R01663__cytop,0,R01663__cytop
R10056__nucl,R10056__nucl,0,R10056__nucl
R04430__cytop,R04430__cytop,0,R04430__cytop
TI3000070_pero__pero,TI3000070_pero__pero,1,Transport removed
R03664__cytop,R03664__cytop,0,R03664__cytop
R00344__mito,R00344__mito,0,R00344__mito
R01968__nucl,R01968__nucl,0,R01968__nucl
R04358__cytop,R04358__cytop,0,R04358__cytop
R00842__cytop,R00842__cytop,0,R00842__cytop
R04854__mito,R04854__mito,0,R04854__mito
R01786__cytop,R01786__cytop,0,R01786__cytop
R08147__cytop,R08147__cytop,0,R08147__cytop
R00372__cytop,R00372__cytop,0,R00372__cytop
TO0011734_cytmem__cytmem,TO0011734_cytmem__cytmem,1,Transport removed
R09380__mito,R09380__mito,0,R09380__mito
R11560__nucl,R11560__nucl,0,R11560__nucl
R04586__cytop,R04586__cytop,0,R04586__cytop
R13023__cytop,R13023__cytop,0,R13023__cytop
TO0000080_cytmem__cytmem,TO0000080_cytmem__cytmem,1,Transport removed
TI3000947_vacmem__vacmem,TI3000947_vacmem__vacmem,1,Transport removed
R05616__mito,R05616__mito,0,R05616__mito
R12403__cytop,R12403__cytop,0,R12403__cytop
TI1000117_cytmem__cytmem,TI1000117_cytmem__cytmem,1,Transport removed
TR2918328_cytmem__cytmem,TR2918328_cytmem__cytmem,1,Transport removed
R02112__extr,R02112__extr,0,R02112__extr
R08648__pero,R08648__pero,0,R08648__pero
R12268__cytop,R12268__cytop,0,R12268__cytop
R00475__pero,R00475__pero,0,R00475__pero
R06124__cytop,R06124__cytop,0,R06124__cytop
R11764__cytop,R11764__cytop,0,R11764__cytop
R02558__cytop,R02558__cytop,0,R02558__cytop
TI0011854_cytmem__cytmem,TI0011854_cytmem__cytmem,1,Transport removed
R01752__mito,R01752__mito,0,R01752__mito
R08233__nucl,R08233__nucl,0,R08233__nucl
R04749__mito,R04749__mito,0,R04749__mito
