Original ID,Raw MetaNetX ID,transport,Final ID
R12268__cytop,R12268__cytop,0,R12268__cytop
TO1000397_cytmem__cytmem,TO1000397_cytmem__cytmem,1,Transport removed
R11764__cytop,R11764__cytop,0,R11764__cytop
R02558__cytop,R02558__cytop,0,R02558__cytop
R01752__mito,R01752__mito,0,R01752__mito
R08233__nucl,R08233__nucl,0,R08233__nucl
TI0000107_vacmem__vacmem,TI0000107_vacmem__vacmem,1,Transport removed
R03167__cytop,R03167__cytop,0,R03167__cytop
R04738__cytop,R04738__cytop,0,R04738__cytop
TI3001302_vacmem__vacmem,TI3001302_vacmem__vacmem,1,Transport removed
TZ3101572_cytmem__cytmem,TZ3101572_cytmem__cytmem,1,Transport removed
R03172__cytop,R03172__cytop,0,R03172__cytop
R09879__cytop,R09879__cytop,0,R09879__cytop
R01372__cytop,R01372__cytop,0,R01372__cytop
R07111__pero,R07111__pero,0,R07111__pero
TI3000243_vacmem__vacmem,TI3000243_vacmem__vacmem,1,Transport removed
R04964__mito,R04964__mito,0,R04964__mito
TI3000280_vacmem__vacmem,TI3000280_vacmem__vacmem,1,Transport removed
TR2918298_cytmem__cytmem,TR2918298_cytmem__cytmem,1,Transport removed
R11029__mito,R11029__mito,0,R11029__mito
R00513__cytop,R00513__cytop,0,R00513__cytop
TI0000424_vacmem__vacmem,TI0000424_vacmem__vacmem,1,Transport removed
R08600__cytop,R08600__cytop,0,R08600__cytop
R04894__pero,R04894__pero,0,R04894__pero
R01600__mito,R01600__mito,0,R01600__mito
R03749__cytop,R03749__cytop,0,R03749__cytop
TZ3101548_cytmem__cytmem,TZ3101548_cytmem__cytmem,1,Transport removed
TO0000175_cytmem__cytmem,TO0000175_cytmem__cytmem,1,Transport removed
R04620__cytop,R04620__cytop,0,R04620__cytop
R03167__mito,R03167__mito,0,R03167__mito
TR2000298_cytmem__cytmem,TR2000298_cytmem__cytmem,1,Transport removed
R05833__cytop,R05833__cytop,0,R05833__cytop
TZ3100078_cytmem__cytmem,TZ3100078_cytmem__cytmem,1,Transport removed
TR2906747_cytmem__cytmem,TR2906747_cytmem__cytmem,1,Transport removed
R08179__mito,R08179__mito,0,R08179__mito
R04744__mito,R04744__mito,0,R04744__mito
R01853__cytop,R01853__cytop,0,R01853__cytop
R00155__cytop,R00155__cytop,0,R00155__cytop
TO3000354_cytmem__cytmem,TO3000354_cytmem__cytmem,1,Transport removed
R00729__nucl,R00729__nucl,0,R00729__nucl
R11528__mito,R11528__mito,0,R11528__mito
TI0001759_vacmem__vacmem,TI0001759_vacmem__vacmem,1,Transport removed
R11099__cytop,R11099__cytop,0,R11099__cytop
R01126__extr,R01126__extr,0,R01126__extr
R01166__cytop,R01166__cytop,0,R01166__cytop
R01799__mito,R01799__mito,0,R01799__mito
R03150__cytop,R03150__cytop,0,R03150__cytop
R04533__mito,R04533__mito,0,R04533__mito
R01122__cytop,R01122__cytop,0,R01122__cytop
R10124__mito,R10124__mito,0,R10124__mito
R05102__cytop,R05102__cytop,0,R05102__cytop
R04603__vacu,R04603__vacu,0,R04603__vacu
R07091__mito,R07091__mito,0,R07091__mito
R04674__pero,R04674__pero,0,R04674__pero
R07326__cytop,R07326__cytop,0,R07326__cytop
R05330__pero,R05330__pero,0,R05330__pero
TR1011703_vacmem__vacmem,TR1011703_vacmem__vacmem,1,Transport removed
R04559__cytop,R04559__cytop,0,R04559__cytop
R08539__cytop,R08539__cytop,0,R08539__cytop
R00585__pero,R00585__pero,0,R00585__pero
TO0000161_vacmem__vacmem,TO0000161_vacmem__vacmem,1,Transport removed
TO1900063_cytmem__cytmem,TO1900063_cytmem__cytmem,1,Transport removed
TR2000049_cytmem__cytmem,TR2000049_cytmem__cytmem,1,Transport removed
R06871__cytop,R06871__cytop,0,R06871__cytop
R12796__vacu,R12796__vacu,0,R12796__vacu
R06516__cytop,R06516__cytop,0,R06516__cytop
R08738__vacu,R08738__vacu,0,R08738__vacu
TO3000847_pero__pero,TO3000847_pero__pero,1,Transport removed
R10245__cytop,R10245__cytop,0,R10245__cytop
R01193__cytop,R01193__cytop,0,R01193__cytop
R04112__cytop,R04112__cytop,0,R04112__cytop
R03189__cytop,R03189__cytop,0,R03189__cytop
TO0000454_cytmem__cytmem,TO0000454_cytmem__cytmem,1,Transport removed
R03346__cytop,R03346__cytop,0,R03346__cytop
TI1002175_cytmem__cytmem,TI1002175_cytmem__cytmem,1,Transport removed
TZ3105297_cytmem__cytmem,TZ3105297_cytmem__cytmem,1,Transport removed
R03657__mito,R03657__mito,0,R03657__mito
R10115__mito,R10115__mito,0,R10115__mito
R01279__pero,R01279__pero,0,R01279__pero
R02739__nucl,R02739__nucl,0,R02739__nucl
R01569__cytop,R01569__cytop,0,R01569__cytop
TO0001550_cytmem__cytmem,TO0001550_cytmem__cytmem,1,Transport removed
TI1014859_vacmem__vacmem,TI1014859_vacmem__vacmem,1,Transport removed
TO1003265_cytmem__cytmem,TO1003265_cytmem__cytmem,1,Transport removed
TI0000767_cytmem__cytmem,TI0000767_cytmem__cytmem,1,Transport removed
TI0000130_cytmem__cytmem,TI0000130_cytmem__cytmem,1,Transport removed
R01100__cytop,R01100__cytop,0,R01100__cytop
TR1002511_vacmem__vacmem,TR1002511_vacmem__vacmem,1,Transport removed
TZ3104651_cytmem__cytmem,TZ3104651_cytmem__cytmem,1,Transport removed
TI0000107_cytmem__cytmem,TI0000107_cytmem__cytmem,1,Transport removed
TO0000161_cytmem__cytmem,TO0000161_cytmem__cytmem,1,Transport removed
R11216__nucl,R11216__nucl,0,R11216__nucl
R01778__pero,R01778__pero,0,R01778__pero
R01547__cytop,R01547__cytop,0,R01547__cytop
R10910__cytop,R10910__cytop,0,R10910__cytop
TI1002175_vacmem__vacmem,TI1002175_vacmem__vacmem,1,Transport removed
TI3000602_cytmem__cytmem,TI3000602_cytmem__cytmem,1,Transport removed
R00472__mito,R00472__mito,0,R00472__mito
R04831__mito,R04831__mito,0,R04831__mito
R11372__mito,R11372__mito,0,R11372__mito
R07070__pero,R07070__pero,0,R07070__pero
TR1011703_cytmem__cytmem,TR1011703_cytmem__cytmem,1,Transport removed
R04726__mito,R04726__mito,0,R04726__mito
TO0001550_vacmem__vacmem,TO0001550_vacmem__vacmem,1,Transport removed
R01596__cytop,R01596__cytop,0,R01596__cytop
R00751__mito,R00751__mito,0,R00751__mito
R04318__nucl,R04318__nucl,0,R04318__nucl
R03224__cytop,R03224__cytop,0,R03224__cytop
R05799__cytop,R05799__cytop,0,R05799__cytop
R00014__mito,R00014__mito,0,R00014__mito
R12067__cytop,R12067__cytop,0,R12067__cytop
R07299__extr,R07299__extr,0,R07299__extr
R00162__extr,R00162__extr,0,R00162__extr
R08517__cytop,R08517__cytop,0,R08517__cytop
TI0011673_cytmem__cytmem,TI0011673_cytmem__cytmem,1,Transport removed
R09427__cytop,R09427__cytop,0,R09427__cytop
R04273__mito,R04273__mito,0,R04273__mito
R02207__cytop,R02207__cytop,0,R02207__cytop
TI3000207_vacu__vacu,TI3000207_vacu__vacu,1,Transport removed
TI3000031_vacmem__vacmem,TI3000031_vacmem__vacmem,1,Transport removed
TI0000275_cytmem__cytmem,TI0000275_cytmem__cytmem,1,Transport removed
R00335__nucl,R00335__nucl,0,R00335__nucl
R01419__cytop,R01419__cytop,0,R01419__cytop
R01117__cytop,R01117__cytop,0,R01117__cytop
R03313__mito,R03313__mito,0,R03313__mito
R05548__cytop,R05548__cytop,0,R05548__cytop
R00557__cytop,R00557__cytop,0,R00557__cytop
TO1900143_cytmem__cytmem,TO1900143_cytmem__cytmem,1,Transport removed
R05202__cytop,R05202__cytop,0,R05202__cytop
TO0000770_cytmem__cytmem,TO0000770_cytmem__cytmem,1,Transport removed
R02156__cytop,R02156__cytop,0,R02156__cytop
R09407__nucl,R09407__nucl,0,R09407__nucl
R11220__mito,R11220__mito,0,R11220__mito
R00329__cytop,R00329__cytop,0,R00329__cytop
R02917__cytop,R02917__cytop,0,R02917__cytop
TO0003136_cytmem__cytmem,TO0003136_cytmem__cytmem,1,Transport removed
TO0001022_cytmem__cytmem,TO0001022_cytmem__cytmem,1,Transport removed
R08036__cytop,R08036__cytop,0,R08036__cytop
R02892__cytop,R02892__cytop,0,R02892__cytop
R01368__cytop,R01368__cytop,0,R01368__cytop
R07024__pero,R07024__pero,0,R07024__pero
R02652__nucl,R02652__nucl,0,R02652__nucl
R07860__cytop,R07860__cytop,0,R07860__cytop
R09405__cytop,R09405__cytop,0,R09405__cytop
TI3001073_cytmem__cytmem,TI3001073_cytmem__cytmem,1,Transport removed
TI3000684_pero__pero,TI3000684_pero__pero,1,Transport removed
R04844__cytop,R04844__cytop,0,R04844__cytop
R08639__cytop,R08639__cytop,0,R08639__cytop
TO0000586_cytmem__cytmem,TO0000586_cytmem__cytmem,1,Transport removed
TZ5900001_permem__permem,TZ5900001_permem__permem,1,Transport removed
R03734__mito,R03734__mito,0,R03734__mito
R00736__cytop,R00736__cytop,0,R00736__cytop
TO1021423_cytmem__cytmem,TO1021423_cytmem__cytmem,1,Transport removed
R11111__cytop,R11111__cytop,0,R11111__cytop
R09449__cytop,R09449__cytop,0,R09449__cytop
R08263__cytop,R08263__cytop,0,R08263__cytop
R08818__cytop,R08818__cytop,0,R08818__cytop
TR2000036_cytmem__cytmem,TR2000036_cytmem__cytmem,1,Transport removed
e_Cofactor__cytop,e_Cofactor__cytop,0,e_Cofactor__cytop
TY3000002_cytmem__cytmem,TY3000002_cytmem__cytmem,1,Transport removed
TI0002774_cytmem__cytmem,TI0002774_cytmem__cytmem,1,Transport removed
R04591__cytop,R04591__cytop,0,R04591__cytop
TZ3102085_cytmem__cytmem,TZ3102085_cytmem__cytmem,1,Transport removed
TI3000690_cytmem__cytmem,TI3000690_cytmem__cytmem,1,Transport removed
R07296__cytop,R07296__cytop,0,R07296__cytop
R05777__cytop,R05777__cytop,0,R05777__cytop
TO1003530_cytmem__cytmem,TO1003530_cytmem__cytmem,1,Transport removed
TR0010516_vacmem__vacmem,TR0010516_vacmem__vacmem,1,Transport removed
TI0011953_vacmem__vacmem,TI0011953_vacmem__vacmem,1,Transport removed
R02541__cytop,R02541__cytop,0,R02541__cytop
R11891__cytop,R11891__cytop,0,R11891__cytop
R03596__cytop,R03596__cytop,0,R03596__cytop
R00899__nucl,R00899__nucl,0,R00899__nucl
R02549__pero,R02549__pero,0,R02549__pero
R00987__cytop,R00987__cytop,0,R00987__cytop
R00925__mito,R00925__mito,0,R00925__mito
R04340__cytop,R04340__cytop,0,R04340__cytop
R03089__cytop,R03089__cytop,0,R03089__cytop
