 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4
MNXR101939,1,1,1,1,1,1,1,1,1,1,1,0
MNXR101940,1,1,1,1,1,1,1,1,1,1,1,0
MNXR101950,1,1,0,0,1,1,0,0,0,0,0,1
MNXR101953,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101956,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101957,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101958,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101972,1,0,0,0,0,0,0,0,0,0,0,0
MNXR101977,1,1,1,1,1,1,0,0,1,1,1,0
MNXR101992,1,1,0,0,0,0,0,0,0,0,0,0
MNXR101995,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102028,1,0,0,0,0,1,1,1,1,0,1,0
MNXR102031,1,0,0,0,0,1,1,1,0,0,0,0
MNXR102033,1,0,0,0,1,1,1,1,1,0,1,0
MNXR102035,1,0,0,0,0,1,1,1,1,0,1,0
MNXR102036,1,0,0,0,1,1,1,1,1,0,1,1
MNXR102090,1,1,0,0,0,0,0,0,1,0,0,1
MNXR102149,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102209,1,0,1,1,1,1,1,1,1,1,1,0
MNXR102218,1,0,0,0,0,0,0,0,1,0,0,0
MNXR102221,1,1,0,0,0,0,0,0,0,0,0,0
MNXR102222,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102223,1,1,0,0,1,1,0,1,0,0,1,0
MNXR102239,1,0,0,0,0,0,0,0,1,0,0,0
MNXR102248,1,0,0,0,0,1,1,0,1,0,0,0
MNXR102302,1,1,1,0,0,0,1,1,1,0,1,1
MNXR102303,1,1,1,0,0,1,1,1,1,0,1,0
MNXR102304,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102306,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102308,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102311,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102345,1,1,0,0,0,0,0,0,0,0,0,0
MNXR102438,1,1,1,1,1,1,1,1,1,1,1,0
MNXR102440,1,0,1,1,1,1,1,1,0,1,1,0
MNXR102441,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102443,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102445,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102461,1,0,1,1,0,1,1,0,1,1,1,0
MNXR102516,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102517,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102524,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102527,1,1,1,1,1,1,1,1,1,1,1,0
MNXR102547,1,1,1,1,1,1,1,1,1,1,1,0
MNXR102625,1,0,0,0,0,0,0,1,0,0,0,0
MNXR102637,1,1,0,0,1,1,0,1,0,0,1,0
MNXR102650,1,0,1,1,1,1,1,1,1,1,1,0
MNXR102974,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102976,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102978,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102981,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102982,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102986,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102987,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102989,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102991,1,0,0,0,0,0,0,0,0,0,0,0
MNXR102993,1,0,0,0,0,0,0,0,0,0,0,0
MNXR103050,1,1,1,1,1,1,1,1,1,1,1,0
MNXR103069,1,0,1,1,1,1,0,0,0,1,1,1
MNXR103095,1,0,1,1,1,1,1,1,1,1,1,0
MNXR103098,1,1,1,1,1,1,1,1,1,1,1,0
MNXR103108,1,0,0,0,0,0,0,0,0,0,1,0
MNXR103120,1,0,1,1,1,1,1,0,0,1,1,0
MNXR103159,1,0,1,1,0,1,1,1,1,1,1,0
MNXR103197,1,0,0,0,0,0,0,0,0,0,0,0
MNXR103226,1,1,0,0,0,0,0,0,0,0,0,0
MNXR103332,1,0,0,0,1,1,0,0,0,0,0,0
MNXR103355,1,1,1,1,1,1,1,1,1,1,1,0
MNXR103357,1,1,1,1,0,1,1,1,1,1,1,0
MNXR103361,1,1,1,1,1,1,1,1,1,1,1,0
MNXR103362,1,1,1,1,0,1,1,1,1,1,1,0
MNXR103363,1,0,0,0,0,1,1,1,1,0,1,0
MNXR103364,1,0,0,0,0,0,0,1,0,0,0,0
MNXR103366,1,1,1,0,0,0,0,0,1,0,0,0
MNXR103368,1,1,1,1,1,1,1,1,0,1,1,0
MNXR103371,1,1,1,1,1,1,1,1,1,1,1,0
MNXR103379,1,1,0,0,0,0,0,0,0,0,0,0
MNXR103384,1,1,0,0,0,0,0,0,0,0,0,1
MNXR103385,1,1,0,0,0,0,0,0,0,0,0,1
MNXR103402,1,0,1,1,0,1,1,1,1,1,1,0
MNXR104030,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104033,1,1,0,0,0,0,0,1,0,0,0,0
MNXR104036,1,0,0,0,0,0,0,1,0,0,0,1
MNXR104083,1,1,1,1,1,1,1,1,1,1,1,0
MNXR104288,1,0,0,0,0,0,0,1,0,0,0,0
MNXR104291,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104325,1,0,0,0,0,0,0,1,0,0,0,0
MNXR104327,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104351,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104354,1,1,0,0,0,0,0,1,0,0,0,0
MNXR104357,1,0,1,1,1,1,1,1,1,1,1,0
MNXR104378,1,1,0,0,0,0,0,0,1,0,0,0
MNXR104379,1,1,0,0,0,0,0,0,0,0,0,0
MNXR104495,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104497,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104540,1,0,1,1,1,1,1,1,1,1,1,0
MNXR104541,1,0,0,0,0,1,1,0,1,0,0,0
MNXR104614,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104615,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104650,1,0,0,0,0,1,1,0,0,0,0,0
MNXR104658,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104722,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104732,1,0,0,0,0,0,0,0,0,0,0,0
MNXR104733,1,0,0,0,0,0,0,1,0,0,0,0
MNXR104756,1,0,0,0,0,1,1,1,1,0,0,0
MNXR104809,1,0,0,0,0,1,1,1,1,0,0,0
MNXR104819,1,0,0,0,0,0,0,0,0,0,1,0
MNXR104821,1,0,0,0,0,0,0,1,0,0,1,0
MNXR104823,1,1,0,0,0,1,1,1,1,0,0,0
MNXR104833,1,1,1,1,0,1,1,1,1,1,1,0
MNXR104834,1,0,1,1,1,1,1,1,1,1,1,0
MNXR104853,1,0,0,0,0,0,0,1,0,0,0,1
MNXR104868,1,0,0,0,0,0,0,0,0,0,1,1
MNXR104885,1,0,1,1,1,1,1,1,0,1,1,0
MNXR104886,1,1,1,1,1,1,1,1,1,1,1,0
MNXR104952,1,0,1,1,0,1,1,0,1,1,1,0
MNXR105000,1,1,1,1,1,1,1,1,1,1,1,0
MNXR105002,1,1,0,0,1,1,0,1,1,0,1,0
MNXR105091,1,0,0,0,0,0,0,0,0,0,0,0
MNXR105109,1,0,0,0,0,0,0,0,0,0,0,0
MNXR105139,1,0,1,1,1,1,1,1,1,1,1,0
MNXR105140,1,0,1,1,1,1,1,1,1,1,1,0
MNXR105147,1,1,0,0,0,0,0,1,0,0,0,1
MNXR105160,1,0,0,0,0,1,1,1,1,0,1,0
MNXR105188,1,0,0,0,0,0,0,0,0,0,0,0
MNXR105190,1,1,0,0,0,0,0,1,1,0,0,1
MNXR105217,1,0,1,0,0,0,0,0,1,0,0,0
MNXR105270,1,0,0,0,0,0,0,1,0,0,0,0
MNXR105271,1,0,0,0,0,0,0,0,0,0,0,0
MNXR105278,1,0,0,0,1,1,0,0,0,0,0,0
MNXR105279,1,0,0,0,0,0,0,0,0,0,0,0
MNXR105280,1,0,0,0,0,0,0,0,0,0,1,0
MNXR105281,1,0,1,1,0,0,0,0,0,1,1,0
MNXR105368,1,0,0,0,0,1,1,1,0,0,1,0
MNXR106519,1,0,1,1,1,1,1,0,0,1,1,1
MNXR107082,1,0,1,1,1,1,1,1,0,1,1,0
MNXR107138,1,1,0,0,0,0,0,0,0,0,0,0
MNXR107287,1,0,0,0,0,0,1,1,0,0,1,0
MNXR108106,1,0,0,0,0,0,0,0,0,0,0,0
MNXR108734,1,1,1,1,1,1,1,0,1,1,1,0
MNXR108735,1,1,1,1,1,1,1,0,0,1,1,0
MNXR109033,1,0,1,1,1,1,1,1,0,1,1,0
MNXR109597,1,0,0,0,0,0,0,0,0,0,0,0
MNXR111765,1,0,1,1,1,1,1,1,0,1,1,0
MNXR113544,1,0,0,0,0,0,0,0,0,0,0,0
MNXR115917,1,0,1,1,1,1,1,1,1,1,1,0
MNXR123213,1,0,0,0,1,1,0,0,0,0,0,0
MNXR123407,1,0,0,0,0,0,0,0,0,0,0,0
MNXR124001,1,0,0,0,0,0,0,0,0,0,0,0
MNXR124046,1,0,0,0,0,0,0,0,0,0,0,0
MNXR125830,1,1,0,1,0,1,1,1,1,1,1,0
MNXR126089,1,0,1,1,1,1,1,1,1,1,1,0
MNXR126234,1,1,1,1,1,1,1,1,1,1,1,0
MNXR126511,1,0,1,1,1,1,1,1,1,1,1,0
MNXR132656,1,0,1,1,1,1,1,1,1,1,1,0
MNXR133772,1,0,1,1,1,1,1,1,1,1,1,0
MNXR133777,1,0,1,1,0,1,1,1,1,1,1,0
MNXR134274,1,0,0,0,0,0,0,0,1,0,0,0
MNXR136040,1,0,0,0,0,0,0,0,0,0,1,0
MNXR136971,1,0,0,0,0,0,0,0,0,0,0,0
MNXR138059,1,1,1,1,1,1,1,1,1,1,1,0
MNXR138060,1,1,1,1,1,1,1,1,1,1,1,1
MNXR138590,1,0,1,0,0,0,0,0,0,0,0,0
MNXR138674,1,0,1,1,1,1,1,1,1,1,1,0
MNXR140043,1,1,0,0,1,1,1,1,1,0,0,0
MNXR140386,1,0,0,0,0,0,0,0,0,0,0,0
MNXR140928,1,0,0,0,0,0,0,0,0,0,0,0
MNXR143249,1,0,0,0,0,0,0,0,0,0,0,0
MNXR144933,1,0,1,1,0,0,0,0,0,1,1,0
MNXR144946,1,0,0,0,0,0,0,0,0,0,0,0
MNXR144947,1,0,0,0,0,0,0,0,0,0,1,0
MNXR144981,1,0,0,0,0,0,0,0,0,0,0,0
MNXR144996,1,0,1,1,1,1,1,1,1,1,1,0
MNXR145064,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145076,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145080,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145089,1,1,0,0,0,0,0,1,0,0,0,0
MNXR145094,1,1,0,0,0,0,0,0,0,0,0,0
MNXR145108,1,0,1,1,0,0,0,0,0,1,1,0
MNXR145126,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145135,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145141,1,0,1,1,1,1,1,0,1,1,1,0
MNXR145174,1,0,0,0,0,0,0,0,1,0,0,0
MNXR145194,1,1,1,1,0,1,1,1,1,1,1,0
MNXR145207,1,0,0,0,1,1,1,1,0,0,1,0
MNXR145221,1,1,1,1,1,1,1,1,1,1,1,0
MNXR145223,1,1,1,1,1,1,1,1,1,1,1,1
MNXR145225,1,0,1,1,1,1,1,1,1,1,1,0
MNXR145262,1,0,1,1,0,1,1,0,1,1,1,0
MNXR145285,1,1,1,1,1,1,0,1,0,1,1,1
MNXR145303,1,0,1,0,0,0,0,0,0,0,0,0
MNXR145437,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145440,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145476,1,0,1,1,0,1,1,1,1,1,1,1
MNXR145509,1,0,1,1,1,1,1,1,1,1,1,0
MNXR145513,1,0,0,0,0,0,0,0,0,0,1,0
MNXR145542,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145554,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145582,1,1,0,0,0,0,0,0,0,0,0,0
MNXR145590,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145601,1,1,1,1,1,1,1,1,0,1,1,0
MNXR145703,1,0,1,1,1,1,1,1,1,1,1,0
MNXR145718,1,0,0,0,0,1,1,0,1,0,1,0
MNXR145755,1,1,0,0,0,0,0,1,0,0,0,0
MNXR145773,1,0,0,0,0,1,1,1,1,0,1,0
MNXR145782,1,1,0,0,0,1,0,0,0,0,0,0
MNXR145795,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145799,1,0,0,0,1,1,1,1,1,0,1,0
MNXR145801,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145803,1,0,0,0,0,0,0,0,1,0,1,0
MNXR145805,1,0,0,0,0,1,1,0,1,0,1,0
MNXR145901,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145903,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145907,1,0,0,0,0,0,0,0,0,0,0,0
MNXR145952,1,1,1,1,1,1,1,1,1,1,1,1
MNXR145958,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146072,1,1,0,0,0,0,0,1,0,0,0,0
MNXR146087,1,1,1,1,1,1,1,1,0,1,1,0
MNXR146109,1,0,0,0,0,0,0,0,1,0,1,0
MNXR146138,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146139,1,1,0,0,0,0,0,1,0,0,1,0
MNXR146171,1,0,1,1,0,1,1,1,1,1,1,0
MNXR146175,1,0,1,1,1,1,1,1,1,1,1,0
MNXR146176,1,0,1,1,1,1,1,1,1,1,1,0
MNXR146182,1,0,1,1,1,1,1,1,1,1,1,0
MNXR146238,1,0,1,1,1,1,0,0,0,1,1,0
MNXR146314,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146318,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146320,1,0,0,0,0,0,0,0,0,0,1,0
MNXR146324,1,0,0,0,0,0,0,0,0,0,0,0
MNXR146326,1,0,0,0,0,0,0,0,0,0,1,0
