 ,carveme,seed,pathway tools,aureme,raven,raven comb,raven homo,merlin,reconstructor,aureme2,aureme3,aureme4
MNXR113283,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113372,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113381,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113401,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113407,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113415,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113419,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113420,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113424,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113425,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113426,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113431,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113456,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113459,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113463,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113472,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113507,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113508,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113590,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113658,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113913,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113914,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113944,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113957,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113958,0,0,0,0,0,1,1,1,0,0,0,0
MNXR113969,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113970,0,0,0,0,0,1,1,0,0,0,0,0
MNXR113973,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114080,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114108,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114120,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114122,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114127,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114129,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114130,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114140,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114141,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114143,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114145,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114168,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114170,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114296,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114300,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114301,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114302,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114321,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114333,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114447,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114465,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114474,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114499,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114500,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114514,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114515,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114516,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114517,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114518,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114519,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114560,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114614,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114615,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114616,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114617,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114669,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114672,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114673,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114674,0,0,0,0,0,1,1,0,0,0,0,0
MNXR114696,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114817,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114821,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114822,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114843,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114852,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114862,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114863,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114864,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114865,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114866,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114867,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114868,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114869,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114875,0,0,0,0,0,1,1,1,0,0,0,0
MNXR114877,0,0,0,0,0,1,0,0,0,0,0,0
MNXR114937,0,0,0,0,0,1,0,0,0,0,0,0
MNXR115844,0,0,0,0,0,1,0,0,0,0,0,0
MNXR115859,0,0,0,0,0,1,0,0,0,0,0,0
MNXR115936,0,0,0,0,0,1,0,0,0,0,0,0
MNXR116925,0,0,0,0,0,1,1,1,0,0,0,0
MNXR117108,0,0,0,0,0,1,0,0,0,0,0,0
MNXR117531,0,0,0,0,0,1,0,0,0,0,0,0
MNXR117617,0,0,0,0,0,1,0,0,0,0,0,0
MNXR117646,0,0,0,0,0,1,0,0,0,0,0,0
MNXR117825,0,0,0,0,0,1,1,1,0,0,0,0
MNXR118104,0,0,0,0,0,1,1,1,0,0,0,0
MNXR118112,0,0,0,0,0,1,1,1,0,0,0,0
MNXR118317,0,0,0,0,0,1,1,1,0,0,0,0
MNXR118524,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118568,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118590,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118591,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118592,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118593,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118595,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118851,0,0,0,0,0,1,0,0,0,0,0,0
MNXR118853,0,0,0,0,0,1,0,0,0,0,0,0
MNXR119378,0,0,0,0,0,1,1,1,0,0,0,0
MNXR119582,0,0,0,0,0,1,1,0,0,0,0,0
MNXR119586,0,0,0,0,0,1,1,1,0,0,0,0
MNXR121624,0,0,0,0,0,1,0,0,0,0,0,0
MNXR121840,0,0,0,0,0,1,0,0,0,0,0,0
MNXR122403,0,0,0,0,0,1,0,0,0,0,0,0
MNXR122404,0,0,0,0,0,1,0,0,0,0,0,0
MNXR122993,0,0,0,0,0,1,0,0,0,0,0,0
MNXR123854,0,0,0,0,0,1,0,0,0,0,0,0
MNXR124066,0,0,0,0,0,1,0,0,0,0,0,0
MNXR124297,0,0,0,0,0,1,1,0,0,0,0,0
MNXR128737,0,0,0,0,0,1,1,1,0,0,0,0
MNXR131252,0,0,0,0,0,1,1,1,0,0,0,0
MNXR131253,0,0,0,0,0,1,1,1,0,0,0,0
MNXR138528,0,0,0,0,0,1,1,0,0,0,0,0
MNXR138529,0,0,0,0,0,1,1,0,0,0,0,0
MNXR139324,0,0,0,0,0,1,1,1,0,0,0,0
MNXR139574,0,0,0,0,0,1,1,1,0,0,0,0
MNXR139666,0,0,0,0,0,1,1,0,0,0,0,0
MNXR139830,0,0,0,0,0,1,1,1,0,0,0,0
MNXR139836,0,0,0,0,0,1,1,1,0,0,0,0
MNXR140277,0,0,0,0,0,1,0,0,0,0,0,0
MNXR140858,0,0,0,0,0,1,0,0,0,0,0,0
MNXR140916,0,0,0,0,0,1,1,1,0,0,0,0
MNXR142118,0,0,0,0,0,1,1,1,1,0,0,0
MNXR143412,0,0,0,0,0,1,1,1,0,0,0,0
MNXR143543,0,0,0,0,0,1,1,1,1,0,0,0
MNXR143581,0,0,0,0,0,1,1,1,1,0,0,0
MNXR143635,0,0,0,0,0,1,1,1,0,0,0,0
MNXR143646,0,0,0,0,0,1,1,1,0,0,0,0
MNXR143668,0,0,0,0,0,1,1,0,0,0,0,0
MNXR143669,0,0,0,0,0,1,1,0,0,0,0,0
MNXR143682,0,0,0,0,0,1,1,0,0,0,0,0
MNXR143688,0,0,0,0,0,1,1,0,0,0,0,0
MNXR144936,0,0,0,0,0,1,1,0,0,0,0,0
MNXR144967,0,0,0,0,0,1,1,1,0,0,0,0
MNXR145020,0,0,0,0,0,1,1,1,1,0,1,0
MNXR145029,0,0,0,0,0,1,1,0,0,0,0,0
MNXR145185,0,0,0,0,0,1,1,1,0,0,0,0
MNXR145193,0,0,0,0,0,1,1,1,1,0,1,0
MNXR145234,0,0,0,0,0,1,1,1,0,0,1,0
MNXR145248,0,0,0,0,0,1,1,1,0,0,0,0
MNXR145252,0,0,0,0,0,1,1,1,1,0,0,0
MNXR145258,0,0,0,0,0,1,1,1,0,0,1,0
MNXR145325,0,0,0,0,0,1,1,1,0,0,0,1
MNXR145480,0,0,0,0,0,1,1,1,0,0,0,0
MNXR145675,0,0,0,0,0,1,1,1,1,0,0,0
MNXR145677,0,0,0,0,0,1,1,1,1,0,0,0
MNXR145679,0,0,0,0,0,1,1,1,1,0,0,0
MNXR145754,0,0,0,0,0,1,1,0,0,0,0,0
MNXR145871,0,0,0,0,0,1,1,1,0,0,0,1
MNXR145920,0,0,0,0,0,1,1,1,0,0,0,0
MNXR145948,0,0,0,0,0,1,1,1,1,0,0,0
MNXR146071,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146274,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146401,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146419,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146460,0,0,0,0,0,1,1,0,0,0,0,0
MNXR146692,0,0,0,0,0,1,1,0,0,0,0,0
MNXR146698,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146701,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146703,0,0,0,0,0,1,1,1,0,0,0,0
MNXR146741,0,0,0,0,0,1,1,0,1,0,1,0
MNXR146743,0,0,0,0,0,1,1,0,1,0,1,0
MNXR146763,0,0,0,0,0,1,0,0,0,0,0,0
MNXR146795,0,0,0,0,0,1,1,1,1,0,0,0
MNXR147043,0,0,0,0,0,1,1,0,0,0,0,0
MNXR147056,0,0,0,0,0,1,0,0,0,0,0,0
MNXR147128,0,0,0,0,0,1,1,0,0,0,0,0
MNXR147200,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147228,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147264,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147269,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147280,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147321,0,0,0,0,0,1,1,0,0,0,0,0
MNXR147352,0,0,0,0,0,1,1,0,0,0,0,0
MNXR147393,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147398,0,0,0,0,0,1,0,0,0,0,0,0
MNXR147506,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147512,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147516,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147558,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147561,0,0,0,0,0,1,1,0,1,0,0,1
MNXR147563,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147597,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147612,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147751,0,0,0,0,0,1,0,0,0,0,0,0
MNXR147779,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147872,0,0,0,0,0,1,0,0,0,0,0,0
MNXR147900,0,0,0,0,0,1,1,1,0,0,0,0
MNXR147943,0,0,0,0,0,1,1,1,1,0,0,0
MNXR148100,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148112,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148114,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148147,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148149,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148184,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148280,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148336,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148338,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148380,0,0,0,0,0,1,1,1,1,0,0,0
MNXR148421,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148430,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148453,0,0,0,0,0,1,0,0,0,0,0,0
MNXR148521,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148536,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148563,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148583,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148587,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148603,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148727,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148759,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148766,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148775,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148796,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148822,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148833,0,0,0,0,0,1,1,1,1,0,0,0
MNXR148838,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148847,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148853,0,0,0,0,0,1,1,0,0,0,0,0
MNXR148919,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148946,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148950,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148962,0,0,0,0,0,1,1,0,1,0,1,0
MNXR148970,0,0,0,0,0,1,1,1,0,0,0,0
MNXR148972,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149012,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149020,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149034,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149036,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149040,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149042,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149048,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149050,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149057,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149060,0,0,0,0,0,1,1,1,0,0,0,1
MNXR149067,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149070,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149076,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149078,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149085,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149088,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149094,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149101,0,0,0,0,0,1,1,0,0,0,0,0
MNXR149125,0,0,0,0,0,1,1,0,0,0,0,0
MNXR149359,0,0,0,0,0,1,0,0,0,0,0,0
MNXR149415,0,0,0,0,0,1,1,0,0,0,0,0
MNXR149417,0,0,0,0,0,1,1,0,0,0,0,0
MNXR149543,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149606,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149608,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149621,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149721,0,0,0,0,0,1,1,0,1,0,1,0
MNXR149744,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149748,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149752,0,0,0,0,0,1,1,0,0,0,0,0
MNXR149792,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149898,0,0,0,0,0,1,1,1,0,0,0,0
MNXR149944,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150034,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150036,0,0,0,0,0,1,1,0,1,0,0,0
MNXR150058,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150095,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150115,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150117,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150145,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150147,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150200,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150202,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150214,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150216,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150218,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150220,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150228,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150231,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150240,0,0,0,0,0,1,0,0,0,0,0,0
MNXR150594,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150656,0,0,0,0,0,1,1,1,0,0,0,1
MNXR150749,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150751,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150753,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150755,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150851,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150869,0,0,0,0,0,1,1,1,0,0,0,0
MNXR150959,0,0,0,0,0,1,1,0,0,0,0,0
MNXR150961,0,0,0,0,0,1,1,1,0,0,0,0
MNXR151019,0,0,0,0,0,1,1,1,0,0,0,0
MNXR151542,0,0,0,0,0,1,1,1,0,0,0,0
MNXR151544,0,0,0,0,0,1,0,0,0,0,0,0
MNXR151559,0,0,0,0,0,1,1,1,1,0,0,0
MNXR151843,0,0,0,0,0,1,1,1,1,0,1,0
MNXR151909,0,0,0,0,0,1,1,1,0,0,0,0
MNXR151960,0,0,0,0,0,1,1,0,1,0,0,0
MNXR151964,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152127,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152265,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152297,0,0,0,0,0,1,1,0,1,0,0,0
MNXR152299,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152301,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152354,0,0,0,0,0,1,1,1,1,0,0,0
MNXR152450,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152618,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152621,0,0,0,0,0,1,1,0,0,0,0,1
MNXR152624,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152628,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152637,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152640,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152654,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152658,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152661,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152665,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152672,0,0,0,0,0,1,1,1,1,0,0,0
MNXR152675,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152678,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152737,0,0,0,0,0,1,1,1,1,0,1,0
MNXR152741,0,0,0,0,0,1,1,0,0,0,0,0
MNXR152890,0,0,0,0,0,1,1,1,1,0,0,0
MNXR152942,0,0,0,0,0,1,1,1,0,0,0,0
MNXR152944,0,0,0,0,0,1,1,0,0,0,1,0
MNXR152949,0,0,0,0,0,1,1,1,1,0,1,1
MNXR152952,0,0,0,0,0,1,1,1,1,0,1,0
MNXR152978,0,0,0,0,0,1,1,0,0,0,0,1
MNXR153062,0,0,0,0,0,1,1,0,0,0,0,0
MNXR153066,0,0,0,0,0,1,1,0,0,0,0,0
MNXR153068,0,0,0,0,0,1,1,0,0,0,0,0
MNXR153070,0,0,0,0,0,1,1,0,0,0,0,0
MNXR153292,0,0,0,0,0,1,1,1,0,0,0,0
MNXR153431,0,0,0,0,0,1,1,1,1,0,0,0
MNXR153432,0,0,0,0,0,1,1,1,1,0,0,0
MNXR153436,0,0,0,0,0,1,1,1,1,0,0,0
MNXR153439,0,0,0,0,0,1,1,1,1,0,0,0
MNXR154639,0,0,0,0,0,1,1,0,1,0,0,0
MNXR154640,0,0,0,0,0,1,1,0,1,0,0,0
MNXR163380,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163428,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163432,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163440,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163446,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163475,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163476,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163477,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163478,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163512,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163522,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163523,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163524,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163525,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163526,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163527,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163534,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163547,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163599,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163672,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163688,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163698,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163760,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163761,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163764,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163784,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163790,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163791,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163831,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163832,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163835,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163836,0,0,0,0,0,1,1,1,0,0,0,0
MNXR163840,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163854,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163866,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163868,0,0,0,0,0,1,1,0,0,0,0,0
MNXR163892,0,0,0,0,0,1,1,1,0,0,0,0
MNXR166698,0,0,0,0,0,1,1,0,1,0,0,0
MNXR169546,0,0,0,0,0,1,1,1,0,0,0,0
MNXR169718,0,0,0,0,0,1,1,0,0,0,0,0
MNXR170304,0,0,0,0,0,1,1,0,0,0,0,0
MNXR170532,0,0,0,0,0,1,1,0,0,0,0,0
MNXR170533,0,0,0,0,0,1,1,0,0,0,0,0
MNXR170534,0,0,0,0,0,1,1,0,0,0,0,0
MNXR170977,0,0,0,0,0,1,1,1,0,0,0,0
MNXR171026,0,0,0,0,0,1,1,1,0,0,0,0
MNXR171030,0,0,0,0,0,1,1,1,0,0,0,0
MNXR188200,0,0,0,0,0,1,1,1,1,0,0,0
MNXR188203,0,0,0,0,0,1,1,1,1,0,0,0
MNXR188205,0,0,0,0,0,1,1,1,1,0,0,0
MNXR188207,0,0,0,0,0,1,1,1,1,0,0,1
MNXR188379,0,0,0,0,0,1,1,0,0,0,0,0
MNXR188686,0,0,0,0,0,1,1,0,0,0,0,0
MNXR188830,0,0,0,0,0,1,1,1,0,0,1,0
MNXR188840,0,0,0,0,0,1,1,1,1,0,0,0
MNXR188956,0,0,0,0,0,1,1,1,0,0,0,0
MNXR188966,0,0,0,0,0,1,1,1,0,0,0,0
MNXR188968,0,0,0,0,0,1,1,1,0,0,0,0
MNXR188970,0,0,0,0,0,1,1,1,0,0,0,0
MNXR188972,0,0,0,0,0,1,1,1,0,0,0,0
MNXR189012,0,0,0,0,0,1,1,0,0,0,0,0
MNXR189030,0,0,0,0,0,1,1,1,1,0,1,0
MNXR189032,0,0,0,0,0,1,1,1,1,0,1,1
MNXR189036,0,0,0,0,0,1,1,1,1,0,1,1
MNXR189050,0,0,0,0,0,1,1,0,0,0,0,0
MNXR189052,0,0,0,0,0,1,1,1,1,0,0,0
MNXR189054,0,0,0,0,0,1,1,0,0,0,0,0
MNXR189060,0,0,0,0,0,1,1,1,1,0,0,0
MNXR189108,0,0,0,0,0,1,1,1,1,0,0,0
MNXR189111,0,0,0,0,0,1,1,1,1,0,1,0
MNXR189175,0,0,0,0,0,1,1,1,1,0,1,1
MNXR189193,0,0,0,0,0,1,1,0,1,0,0,0
MNXR189195,0,0,0,0,0,1,1,0,0,0,0,0
MNXR189537,0,0,0,0,0,1,1,1,1,0,0,0
MNXR189541,0,0,0,0,0,1,1,1,1,0,0,0
MNXR189543,0,0,0,0,0,1,1,1,1,0,1,1
MNXR189692,0,0,0,0,0,1,1,1,0,0,0,0
MNXR189694,0,0,0,0,0,1,1,1,0,0,0,0
MNXR189797,0,0,0,0,0,1,1,1,0,0,0,0
MNXR189916,0,0,0,0,0,1,1,1,1,0,0,0
MNXR189981,0,0,0,0,0,1,1,1,0,0,0,0
MNXR190103,0,0,0,0,0,1,1,1,1,0,1,0
MNXR190328,0,0,0,0,0,1,1,0,0,0,0,0
MNXR190436,0,0,0,0,0,1,1,0,0,0,0,0
MNXR190472,0,0,0,0,0,1,1,0,1,0,0,0
MNXR190498,0,0,0,0,0,1,1,1,1,0,1,0
MNXR190501,0,0,0,0,0,1,1,1,1,0,1,0
MNXR190503,0,0,0,0,0,1,1,1,1,0,1,0
MNXR190505,0,0,0,0,0,1,1,1,1,0,1,0
MNXR190551,0,0,0,0,0,1,1,0,1,0,1,0
MNXR190682,0,0,0,0,0,1,1,1,1,0,0,0
MNXR190692,0,0,0,0,0,1,1,1,1,0,0,0
MNXR190694,0,0,0,0,0,1,1,1,1,0,0,0
MNXR190732,0,0,0,0,0,1,1,1,0,0,0,0
MNXR190826,0,0,0,0,0,1,1,1,0,0,0,0
MNXR190828,0,0,0,0,0,1,1,1,1,0,0,0
MNXR190964,0,0,0,0,0,1,1,1,0,0,0,0
MNXR190966,0,0,0,0,0,1,1,0,1,0,0,0
MNXR191227,0,0,0,0,0,1,1,0,0,0,0,0
MNXR191234,0,0,0,0,0,1,1,0,0,0,0,0
MNXR191236,0,0,0,0,0,1,1,1,0,0,0,0
MNXR191286,0,0,0,0,0,1,1,0,0,0,0,0
MNXR191320,0,0,0,0,0,1,0,0,0,0,0,0
MNXR191358,0,0,0,0,0,1,1,1,1,0,0,0
MNXR191432,0,0,0,0,0,1,0,0,0,0,0,0
MNXR191477,0,0,0,0,0,1,1,1,0,0,0,0
MNXR191864,0,0,0,0,0,1,0,0,0,0,0,0
MNXR191948,0,0,0,0,0,1,0,0,0,0,0,0
MNXR192026,0,0,0,0,0,1,1,1,0,0,0,0
MNXR192035,0,0,0,0,0,1,1,1,0,0,0,0
MNXR192055,0,0,0,0,0,1,1,1,1,0,0,0
