Original ID,Raw MetaNetX ID,Final ID
m01257[c],m01257[c],m01257[c]
m02819[p],m02819[p],m02819[p]
m02403[p],m02403[p],m02403[p]
m00674[c],m00674[c],m00674[c]
m01968[r],m01968[r],m01968[r]
m02393[m],m02393[m],m02393[m]
m02869[m],m02869[m],m02869[m]
m01701[m],m01701[m],m01701[m]
m01420[r],m01420[r],m01420[r]
m02578[r],m02578[r],m02578[r]
m03039[s],m03039[s],m03039[s]
m01996[c],m01996[c],m01996[c]
m01995[c],m01995[c],m01995[c]
m01990[c],m01990[c],m01990[c]
m03161[c],m03161[c],m03161[c]
m01992[c],m01992[c],m01992[c]
m01991[c],m01991[c],m01991[c]
m01994[c],m01994[c],m01994[c]
m01993[c],m01993[c],m01993[c]
m02445[c],m02445[c],m02445[c]
m02448[c],m02448[c],m02448[c]
m02445[s],m02445[s],m02445[s]
m02448[s],m02448[s],m02448[s]
m02446[c],m02446[c],m02446[c]
m02446[s],m02446[s],m02446[s]
m02447[c],m02447[c],m02447[c]
m02447[s],m02447[s],m02447[s]
m02449[c],m02449[c],m02449[c]
m02449[s],m02449[s],m02449[s]
m02451[c],m02451[c],m02451[c]
m02451[s],m02451[s],m02451[s]
m02452[c],m02452[c],m02452[c]
m02452[s],m02452[s],m02452[s]
m01965[l],m01965[l],m01965[l]
m01966[c],m01966[c],m01966[c]
m01322[c],m01322[c],m01322[c]
m01911[c],m01911[c],m01911[c]
m02945[s],m02945[s],m02945[s]
m01840[s],m01840[s],m01840[s]
m01910[s],m01910[s],m01910[s]
m01913[s],m01913[s],m01913[s]
m02955[c],m02955[c],m02955[c]
m01746[c],m01746[c],m01746[c]
m00812[s],m00812[s],m00812[s]
m00810[s],m00810[s],m00810[s]
m01965[g],m01965[g],m01965[g]
m02332[g],m02332[g],m02332[g]
m01745[c],m01745[c],m01745[c]
m01843[c],m01843[c],m01843[c]
m01842[c],m01842[c],m01842[c]
m02917[c],m02917[c],m02917[c]
m01844[c],m01844[c],m01844[c]
m02454[c],m02454[c],m02454[c]
m01717[c],m01717[c],m01717[c]
m02455[c],m02455[c],m02455[c]
m01949[c],m01949[c],m01949[c]
m02425[c],m02425[c],m02425[c]
m01743[c],m01743[c],m01743[c]
m01684[c],m01684[c],m01684[c]
m00168[c],m00168[c],m00168[c]
m01824[m],m01824[m],m01824[m]
m01826[m],m01826[m],m01826[m]
m02046[m],m02046[m],m02046[m]
m02148[c],m02148[c],m02148[c]
m01256[c],m01256[c],m01256[c]
m01715[c],m01715[c],m01715[c]
m02329[m],m02329[m],m02329[m]
m02403[m],m02403[m],m02403[m]
m00168[m],m00168[m],m00168[m]
m02444[m],m02444[m],m02444[m]
m02444[p],m02444[p],m02444[p]
m00900[m],m00900[m],m00900[m]
m02775[c],m02775[c],m02775[c]
m02775[m],m02775[m],m02775[m]
m01253[m],m01253[m],m01253[m]
m03168[m],m03168[m],m03168[m]
m00653[c],m00653[c],m00653[c]
m01255[c],m01255[c],m01255[c]
m01253[c],m01253[c],m01253[c]
m00157[m],m00157[m],m00157[m]
m01255[p],m01255[p],m01255[p]
m02131[p],m02131[p],m02131[p]
m00159[m],m00159[m],m00159[m]
m01961[r],m01961[r],m01961[r]
m01961[c],m01961[c],m01961[c]
m02843[c],m02843[c],m02843[c]
m02845[r],m02845[r],m02845[r]
m02846[r],m02846[r],m02846[r]
m01169[r],m01169[r],m01169[r]
m01169[c],m01169[c],m01169[c]
m02884[c],m02884[c],m02884[c]
m02841[c],m02841[c],m02841[c]
m01419[c],m01419[c],m01419[c]
m01280[m],m01280[m],m01280[m]
m01804[c],m01804[c],m01804[c]
m02167[c],m02167[c],m02167[c]
m03150[c],m03150[c],m03150[c]
m01282[c],m01282[c],m01282[c]
m01279[s],m01279[s],m01279[s]
m02806[s],m02806[s],m02806[s]
m01948[s],m01948[s],m01948[s]
m02016[s],m02016[s],m02016[s]
m02161[s],m02161[s],m02161[s]
m01131[c],m01131[c],m01131[c]
m02038[m],m02038[m],m02038[m]
m01639[c],m01639[c],m01639[c]
m02578[s],m02578[s],m02578[s]
m01645[c],m01645[c],m01645[c]
m01756[c],m01756[c],m01756[c]
m01643[c],m01643[c],m01643[c]
m01754[c],m01754[c],m01754[c]
m01940[c],m01940[c],m01940[c]
m01132[c],m01132[c],m01132[c]
m01305[c],m01305[c],m01305[c]
m01130[c],m01130[c],m01130[c]
m02575[c],m02575[c],m02575[c]
m02872[c],m02872[c],m02872[c]
m01304[c],m01304[c],m01304[c]
m00266[c],m00266[c],m00266[c]
m03121[c],m03121[c],m03121[c]
m01315[c],m01315[c],m01315[c]
m01315[s],m01315[s],m01315[s]
m03121[s],m03121[s],m03121[s]
m03120[s],m03120[s],m03120[s]
m02147[c],m02147[c],m02147[c]
m01288[c],m01288[c],m01288[c]
m01642[m],m01642[m],m01642[m]
m01637[m],m01637[m],m01637[m]
m01688[m],m01688[m],m01688[m]
m01623[m],m01623[m],m01623[m]
m01424[m],m01424[m],m01424[m]
m01754[m],m01754[m],m01754[m]
m01756[m],m01756[m],m01756[m]
m01747[c],m01747[c],m01747[c]
m01753[m],m01753[m],m01753[m]
m01747[m],m01747[m],m01747[m]
m01637[n],m01637[n],m01637[n]
m01642[n],m01642[n],m01642[n]
m01747[n],m01747[n],m01747[n]
m01633[m],m01633[m],m01633[m]
m02046[c],m02046[c],m02046[c]
m01420[c],m01420[c],m01420[c]
m02660[c],m02660[c],m02660[c]
m02559[c],m02559[c],m02559[c]
m03130[s],m03130[s],m03130[s]
m01052[c],m01052[c],m01052[c]
m00923[c],m00923[c],m00923[c]
m02997[c],m02997[c],m02997[c]
m01705[c],m01705[c],m01705[c]
m02997[m],m02997[m],m02997[m]
m01705[m],m01705[m],m01705[m]
m01752[m],m01752[m],m01752[m]
m02996[m],m02996[m],m02996[m]
m01644[c],m01644[c],m01644[c]
m02659[c],m02659[c],m02659[c]
m00180[c],m00180[c],m00180[c]
m01755[m],m01755[m],m01755[m]
m01045[c],m01045[c],m01045[c]
m00922[c],m00922[c],m00922[c]
m01633[c],m01633[c],m01633[c]
m02990[m],m02990[m],m02990[m]
m03130[m],m03130[m],m03130[m]
m02990[n],m02990[n],m02990[n]
m01756[n],m01756[n],m01756[n]
m01673[m],m01673[m],m01673[m]
m01632[c],m01632[c],m01632[c]
m01590[m],m01590[m],m01590[m]
m02034[s],m02034[s],m02034[s]
m01669[m],m01669[m],m01669[m]
m01721[c],m01721[c],m01721[c]
m01334[l],m01334[l],m01334[l]
m01280[l],m01280[l],m01280[l]
m02751[l],m02751[l],m02751[l]
m03114[l],m03114[l],m03114[l]
m03123[l],m03123[l],m03123[l]
m03123[m],m03123[m],m03123[m]
m01590[l],m01590[l],m01590[l]
m01630[l],m01630[l],m01630[l]
m02996[l],m02996[l],m02996[l]
m02016[l],m02016[l],m02016[l]
m02038[l],m02038[l],m02038[l]
m01424[n],m01424[n],m01424[n]
m01623[n],m01623[n],m01623[n]
m01643[n],m01643[n],m01643[n]
m01645[n],m01645[n],m01645[n]
m01688[n],m01688[n],m01688[n]
m01714[c],m01714[c],m01714[c]
