Original ID,Raw MetaNetX ID,Final ID
7dhf_c,MNXM5779_c,MNXM5779
7dhf_l,MNXM5779_l,MNXM5779
7dhf_m,MNXM5779_m,MNXM5779
7thf_c,MNXM5780_c,MNXM5780
7thf_l,MNXM5780_l,MNXM5780
7thf_m,MNXM5780_m,MNXM5780
h2o_l,MNXM03_l,MNXM03
m2mn_l,MNXM6014_l,MNXM6014
man_l,MNXM182_l,MNXM182
mn_l,MNXM1104872_l,MNXM1104872
galgluside_hs_c,MNXM90540_c,MNXM90540
udpgal_c,MNXM722709_c,MNXM722709
thcrm_hs_c,MNXM91318_c,MNXM91318
udp_c,MNXM1102128_c,MNXM1102128
galgluside_hs_g,MNXM90540_g,MNXM90540
udpgal_g,MNXM722709_g,MNXM722709
h_g,MNXM1_g,MNXM1
thcrm_hs_g,MNXM91318_g,MNXM91318
udp_g,MNXM1102128_g,MNXM1102128
T_antigen_g,MNXM730668_g,MNXM730668
uacgam_g,MNXM736710_g,MNXM736710
gncore1_g,MNXM18091_g,MNXM18091
core2_g,MNXM1104657_g,MNXM1104657
gncore2_g,MNXM18092_g,MNXM18092
aact_c,MNXM1106_c,MNXM1106
mthgxl_c,MNXM310_c,MNXM310
L2aadp6sa_m,MNXM1108541_m,MNXM1108541
fucgalacglcgalgluside_hs_g,MNXM91322_g,MNXM91322
udpacgal_g,MNXM1100890_g,MNXM1100890
acgalfucgalacglcgalgluside_hs_g,MNXM41055_g,MNXM41055
galfucgalacglcgalgluside_hs_g,MNXM163600_g,MNXM163600
fuc12gal14acglcgalgluside_hs_g,MNXM7855_g,MNXM7855
galfuc12gal14acglcgalgluside_hs_g,MNXM7938_g,MNXM7938
acgalfuc12gal14acglcgalgluside_hs_g,MNXM9469_g,MNXM9469
fucgalacgalfuc12gal14acglcgalgluside_hs_g,MNXM13200_g,MNXM13200
acgalfucgalacgalfuc12gal14acglcgalgluside_hs_g,MNXM1104475_g,MNXM1104475
fucgalacglcgal14acglcgalgluside_hs_g,MNXM7881_g,MNXM7881
acgalfucgalacglcgal14acglcgalgluside_hs_g,MNXM9472_g,MNXM9472
fucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,MNXM9477_g,MNXM9477
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,MNXM9197_g,MNXM9197
